,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
27,2018-07-15,53,63,73,43,53,29,66,75,44,7,30,74,45,38,35,37,62,57,45,73,62,49,54,44,36,48,20,87,63,70,49,28,44,41,69,47,43,45,33,42,59,71,27,75,69,66,64,83,55,84
28,2018-07-22,50,73,75,42,53,21,63,74,45,6,54,70,42,55,34,26,71,67,53,70,70,52,52,72,29,60,22,75,59,78,67,38,38,31,53,42,49,62,39,44,63,56,34,81,68,55,68,84,59,78
29,2018-07-29,51,61,68,16,43,37,63,78,53,7,45,86,34,42,64,26,63,53,60,80,61,45,50,63,25,45,22,82,61,73,58,38,49,31,83,47,40,47,25,39,77,62,57,69,77,59,57,84,55,53
30,2018-08-05,65,66,73,42,63,41,66,83,39,6,60,72,52,51,49,32,66,79,63,74,54,46,51,73,29,48,17,83,73,68,61,32,54,63,81,72,47,53,36,42,64,60,30,68,85,60,57,82,48,88
31,2018-08-12,55,61,72,28,50,25,64,73,65,7,29,70,39,57,62,28,70,66,69,78,54,43,45,61,27,64,21,84,49,67,54,44,51,41,63,42,57,46,43,38,39,70,65,62,54,63,76,80,51,67
32,2018-08-19,69,70,72,46,47,33,64,78,45,5,59,62,36,51,94,46,63,63,61,75,53,46,52,73,29,16,22,79,61,57,58,44,53,59,63,43,40,41,33,39,60,73,41,74,76,69,59,77,57,67
33,2018-08-26,54,64,70,38,57,33,62,75,44,7,29,57,59,45,46,65,70,84,50,76,46,52,50,77,27,73,21,81,95,66,53,32,52,61,63,54,57,53,48,37,55,75,57,76,62,65,76,77,53,58
34,2018-09-02,50,55,70,37,51,53,60,73,35,7,28,74,24,49,56,66,56,57,51,72,68,44,51,59,26,47,19,78,70,56,58,50,47,46,79,40,42,47,26,47,62,71,48,72,70,73,56,75,46,52
35,2018-09-09,53,61,71,77,49,34,61,65,26,6,46,62,40,38,46,56,54,35,52,66,40,47,46,54,30,50,26,81,56,54,62,44,48,55,52,53,56,46,34,45,56,61,47,65,61,78,64,75,53,56
36,2018-09-16,48,60,71,19,58,42,63,73,44,6,20,68,21,43,41,43,58,63,53,70,48,46,51,65,32,54,23,84,79,59,68,26,53,70,67,49,44,49,40,48,70,75,40,69,50,71,64,73,55,55
37,2018-09-23,49,72,71,30,38,29,65,71,56,6,48,77,35,51,58,63,57,45,57,73,70,53,50,67,41,71,16,79,65,62,82,25,70,49,68,40,52,56,28,43,62,67,37,60,55,75,53,73,63,80
38,2018-09-30,46,64,75,33,76,40,61,67,46,5,44,69,26,51,50,39,58,58,51,73,55,48,50,63,36,50,20,72,85,57,79,37,53,40,64,32,59,51,38,49,57,68,43,69,93,74,66,72,73,66
39,2018-10-07,58,68,76,53,55,31,56,66,56,6,41,70,32,41,66,45,65,53,52,69,60,54,50,61,25,60,26,82,78,57,65,30,50,60,93,55,52,50,41,45,55,89,54,61,47,94,56,75,88,53
40,2018-10-14,44,75,73,49,64,27,63,65,44,7,32,87,26,43,74,40,58,53,57,71,59,51,49,44,25,49,17,85,64,62,65,39,49,53,68,34,49,48,51,32,65,70,55,43,37,76,52,70,75,69
41,2018-10-21,62,64,75,61,54,38,57,69,34,7,38,65,46,48,21,55,53,54,53,69,72,48,50,53,33,18,25,82,73,59,65,18,57,53,69,54,45,57,33,42,53,77,56,71,45,75,61,67,97,60
42,2018-10-28,50,77,71,27,51,28,65,67,33,6,26,68,50,47,51,59,52,63,47,70,42,65,50,60,39,70,26,79,74,66,78,20,42,26,76,54,51,72,41,31,57,86,33,61,52,72,66,70,74,64
43,2018-11-04,45,57,76,22,50,29,67,70,33,6,62,78,59,54,38,53,58,69,51,71,50,65,54,71,32,49,22,80,71,74,80,40,50,52,67,39,54,79,43,58,58,68,44,79,61,93,51,71,88,78
44,2018-11-11,62,63,80,60,31,43,70,73,44,6,57,69,43,44,30,26,56,68,55,69,57,70,45,59,40,79,26,75,63,73,76,16,36,45,73,48,58,94,46,42,47,77,79,69,70,87,75,76,77,66
45,2018-11-18,75,61,70,21,61,46,65,75,57,6,34,55,32,43,46,65,54,43,43,68,44,80,53,57,30,57,24,78,69,71,69,41,45,38,58,55,52,81,40,31,49,94,76,77,43,90,48,78,56,65
46,2018-11-25,63,66,78,37,38,19,65,73,37,5,40,69,40,44,56,54,67,64,49,66,61,67,55,59,32,37,19,76,83,70,76,31,47,31,81,53,39,84,37,48,58,74,64,62,53,84,61,79,51,67
47,2018-12-02,60,76,81,51,60,30,69,72,31,6,26,57,20,42,76,51,61,54,40,64,51,59,55,62,29,44,17,71,52,62,70,50,43,27,81,69,49,78,40,40,67,84,79,78,39,85,57,78,46,68
48,2018-12-09,83,66,79,36,49,45,65,75,44,6,59,65,33,39,51,63,57,38,44,65,60,67,53,58,23,33,23,78,56,73,63,40,40,26,64,62,39,77,34,39,49,85,56,56,54,80,60,78,61,75
49,2018-12-16,46,85,84,42,63,34,82,70,40,6,26,93,25,43,51,77,55,94,49,64,58,67,54,61,19,65,21,74,51,70,67,32,40,37,86,74,58,71,32,45,77,91,34,68,44,69,61,80,63,85
50,2018-12-23,41,89,84,38,42,42,82,79,42,6,47,87,45,58,42,83,63,58,40,71,79,73,56,48,25,70,21,74,66,77,80,46,52,63,61,62,42,85,46,36,66,90,46,66,61,77,74,84,72,84
51,2018-12-30,60,71,84,56,68,43,69,70,75,7,72,100,32,59,52,100,70,72,59,79,72,62,56,62,38,38,23,79,78,78,77,34,49,25,90,49,58,64,33,33,71,74,40,49,35,62,58,77,63,85
52,2019-01-06,48,86,79,51,47,66,73,65,54,6,39,73,47,50,41,62,63,42,49,70,60,62,57,57,41,66,23,80,72,77,66,22,46,37,63,61,55,66,35,30,48,75,41,78,32,81,43,77,57,64
53,2019-01-13,79,72,80,41,40,39,71,70,42,7,45,70,23,44,30,47,62,59,47,70,86,64,54,66,33,43,23,84,53,66,68,54,52,28,74,63,39,66,35,53,46,70,44,49,45,62,52,76,65,66
54,2019-01-20,60,74,74,40,57,35,69,74,56,15,42,70,27,39,48,55,55,42,48,68,59,66,56,61,27,55,26,78,53,72,63,32,49,52,81,57,43,55,38,33,74,77,47,58,41,76,64,74,59,72
55,2019-01-27,72,85,77,65,82,35,79,66,67,24,50,64,68,85,59,73,68,76,76,67,41,76,56,48,28,33,81,15,50,74,70,36,77,51,63,43,37,58,77,91,67,61,43,61,58,27,83,75,79,68
56,2019-02-03,59,91,74,77,81,39,79,66,100,44,18,62,86,89,93,51,66,92,87,76,26,89,55,59,34,57,90,3,56,70,82,46,81,40,65,41,52,70,85,49,86,52,72,52,69,25,78,74,99,63
57,2019-02-10,47,77,71,89,77,45,80,67,64,100,10,63,100,92,41,94,65,81,84,69,13,88,55,51,31,62,85,3,64,70,73,38,82,60,51,64,62,55,82,37,97,58,100,46,61,29,86,71,88,73
58,2019-02-17,63,89,73,76,93,51,81,66,87,19,16,81,75,100,76,80,68,54,87,71,25,90,57,84,43,54,96,3,53,72,63,43,83,63,74,69,69,57,83,51,76,65,69,47,61,21,87,81,75,58
59,2019-02-24,64,78,75,100,69,23,82,67,68,12,50,68,82,91,77,65,73,96,94,67,32,79,54,64,29,46,87,3,52,69,74,36,100,48,61,74,57,60,100,41,77,45,61,62,74,20,80,74,80,62
60,2019-03-03,45,61,67,88,76,26,81,71,77,10,22,65,50,95,85,58,67,47,70,70,30,73,54,49,34,45,87,3,44,68,61,51,88,70,68,35,60,62,84,35,70,37,74,83,53,23,99,76,74,58
61,2019-03-10,57,72,69,71,96,46,79,73,65,9,36,67,79,100,92,47,71,59,77,67,18,68,57,54,24,75,89,3,64,70,63,33,77,69,52,44,57,51,81,48,84,64,74,58,57,24,77,77,75,61
62,2019-03-17,46,63,75,84,69,44,77,73,80,8,49,78,90,94,69,69,80,92,100,66,26,87,57,72,33,42,88,3,44,70,69,28,65,59,59,57,55,57,90,49,67,56,71,68,68,23,71,78,82,77
63,2019-03-24,62,76,70,84,89,56,84,67,81,9,21,91,75,88,69,63,72,53,92,71,21,87,61,67,45,67,100,3,78,81,69,41,92,38,66,70,49,58,79,45,75,58,51,68,54,19,79,78,82,68
64,2019-03-31,43,72,76,58,66,39,70,71,40,8,32,63,63,49,68,42,62,50,57,70,50,66,58,70,21,55,35,73,63,61,66,38,55,37,49,63,44,59,42,38,69,74,69,88,54,58,43,80,61,64
65,2019-04-07,71,63,74,21,62,52,66,75,45,7,14,76,33,49,37,29,53,66,62,76,61,56,55,62,33,48,19,80,76,67,77,51,45,49,54,49,61,52,35,56,79,91,79,92,45,68,68,90,59,76
66,2019-04-14,59,55,73,23,54,35,68,69,39,6,53,86,41,45,41,49,65,47,56,73,54,59,54,80,43,50,24,86,72,88,67,51,44,34,65,31,35,57,27,52,62,93,44,88,57,67,50,79,77,73
67,2019-04-21,40,62,78,26,63,35,66,72,53,6,41,72,32,40,64,59,55,56,59,69,68,59,51,67,38,50,23,83,80,68,59,36,60,33,77,41,53,58,37,53,83,70,47,59,33,72,50,79,69,72
68,2019-04-28,59,68,74,46,62,43,64,72,38,7,53,65,37,40,31,84,55,51,45,71,82,61,54,68,32,46,23,99,79,58,73,30,50,32,62,60,43,62,26,39,54,87,57,55,54,59,48,77,79,70
69,2019-05-05,77,63,68,24,45,33,69,73,46,6,79,62,56,39,44,32,64,75,50,71,55,60,54,68,31,55,21,87,65,52,64,39,46,35,65,56,51,51,19,61,43,84,59,67,43,64,48,76,67,67
70,2019-05-12,50,61,69,27,48,31,69,71,56,5,43,63,41,65,36,30,55,40,50,65,58,68,56,57,28,46,20,83,66,71,70,35,42,37,64,46,39,52,29,40,44,70,57,61,55,60,60,77,77,66
71,2019-05-19,60,75,66,35,60,54,70,72,40,6,35,63,41,66,41,39,60,76,56,69,71,60,59,63,35,46,23,79,64,73,85,38,59,42,68,63,49,60,25,42,61,84,77,68,60,72,60,81,96,66
72,2019-05-26,53,59,74,52,47,42,67,67,56,6,49,72,30,57,80,62,57,80,52,70,69,63,62,69,44,67,25,84,83,66,81,29,49,57,66,45,51,59,31,40,57,53,48,66,61,71,71,80,79,62
73,2019-06-02,78,68,71,51,45,8,67,63,43,6,33,77,31,62,41,69,57,91,54,67,67,66,59,61,33,47,22,80,58,68,79,42,45,49,79,40,52,52,34,32,71,66,54,86,59,66,80,80,85,65
74,2019-06-09,46,66,67,15,68,35,67,73,25,5,36,71,38,58,38,56,55,66,56,70,64,71,56,68,38,55,23,80,63,61,80,38,45,46,75,46,52,57,26,46,51,60,54,72,42,64,82,82,76,73
75,2019-06-16,49,56,74,32,62,45,70,76,51,6,21,60,33,70,51,46,62,58,53,71,83,63,58,68,33,66,19,84,69,73,67,29,54,28,62,65,49,58,37,42,64,70,67,66,53,66,63,85,86,84
76,2019-06-23,59,67,68,40,48,37,71,81,24,6,50,74,41,61,58,53,63,49,50,69,100,64,56,61,38,37,21,82,61,70,85,39,53,53,71,48,48,57,46,46,48,62,32,60,55,64,65,86,82,85
77,2019-06-30,52,82,72,47,54,45,75,78,31,6,36,76,34,55,51,74,73,73,51,72,80,63,55,69,36,47,24,81,91,74,72,28,48,63,82,54,50,54,40,47,63,65,46,72,70,68,67,87,83,66
78,2019-07-07,48,82,80,28,71,52,78,77,48,7,43,85,44,60,54,65,67,69,64,74,70,66,59,73,45,68,22,81,70,73,71,46,48,42,70,63,74,54,40,55,81,68,54,66,65,73,82,86,93,81
79,2019-07-14,49,80,74,75,50,47,79,68,40,7,23,72,27,72,31,66,65,65,64,75,55,76,59,77,41,60,21,84,66,81,84,21,58,36,60,70,71,49,41,48,70,50,36,69,62,76,74,83,90,66
80,2019-07-21,51,80,69,34,69,41,73,74,71,8,39,75,38,61,60,60,82,40,60,74,54,70,58,75,35,65,25,95,74,73,58,34,48,31,71,50,77,54,33,63,66,52,55,67,44,77,70,82,90,70
81,2019-07-28,77,75,75,15,54,53,75,80,53,7,32,69,35,56,33,60,87,57,67,78,53,74,57,72,49,29,23,97,66,72,73,27,58,66,62,51,53,59,35,51,72,50,37,76,70,62,78,81,97,71
82,2019-08-04,67,80,70,34,61,41,74,78,71,6,24,66,34,50,72,44,89,53,56,78,57,69,56,58,36,43,24,89,68,80,60,30,51,39,56,57,50,52,37,47,64,62,49,75,58,68,67,80,79,80
83,2019-08-11,61,69,72,49,55,37,73,83,39,7,36,81,48,49,47,38,100,59,70,80,55,65,55,78,64,67,22,94,71,87,70,39,58,41,86,43,70,47,39,48,48,59,51,85,84,71,81,81,93,71
84,2019-08-18,67,75,69,29,66,50,77,80,53,6,29,89,36,53,50,70,81,57,64,77,37,62,60,54,100,74,22,87,62,83,78,21,50,56,68,66,69,48,30,35,68,68,84,68,35,77,68,79,82,62
85,2019-08-25,73,62,74,61,58,39,75,75,90,6,52,86,26,66,90,57,77,87,68,76,60,59,60,66,73,65,31,85,86,67,73,48,52,60,73,50,59,54,41,45,53,45,60,50,100,75,76,77,69,76
86,2019-09-01,71,66,73,55,60,29,70,69,51,6,43,73,52,72,65,71,67,61,63,76,45,56,54,60,56,32,29,88,75,71,74,72,60,46,73,39,56,54,28,28,51,51,28,58,74,75,74,77,79,65
87,2019-09-08,53,73,73,64,51,42,76,73,47,6,47,74,25,64,67,66,60,77,62,75,56,62,62,57,64,35,22,81,81,73,68,44,53,56,66,70,59,49,34,48,37,51,40,85,71,73,69,75,76,71
88,2019-09-15,59,69,76,39,68,36,73,74,37,6,60,63,37,54,46,59,61,57,65,73,49,67,61,54,57,77,27,85,77,64,63,55,53,46,93,53,55,54,28,29,47,55,50,66,73,72,65,75,68,64
89,2019-09-22,58,79,76,48,58,36,69,75,41,6,39,69,48,55,63,64,56,65,57,71,62,72,58,64,47,72,28,80,58,80,61,37,59,60,75,60,58,52,29,42,62,63,42,70,79,63,51,73,72,66
90,2019-09-29,48,65,83,57,85,28,73,71,62,7,37,79,42,65,100,73,61,89,55,70,54,66,56,64,44,57,29,78,65,71,60,53,66,25,73,56,52,54,27,46,55,58,47,65,46,57,54,75,61,57
91,2019-10-06,63,72,75,64,61,38,70,66,30,8,32,76,44,54,61,51,63,37,62,77,53,62,53,63,37,74,26,79,89,65,60,31,58,47,71,57,60,55,39,53,68,58,51,66,59,73,67,72,69,67
92,2019-10-13,76,71,78,17,54,45,73,70,54,6,46,86,39,56,55,69,59,56,59,72,58,63,57,52,34,68,22,91,85,61,70,50,51,34,58,45,54,56,30,50,71,44,52,51,59,71,59,71,76,59
93,2019-10-20,59,62,80,58,61,58,64,70,38,5,37,79,37,51,56,51,61,91,62,77,53,64,53,53,46,50,22,81,80,69,75,45,50,47,71,58,64,45,45,59,51,59,61,75,46,62,57,74,72,68
94,2019-10-27,31,52,71,51,68,49,70,70,42,5,31,73,37,59,63,59,61,52,54,73,53,57,53,57,37,54,22,84,79,69,70,39,55,38,73,58,57,62,41,58,54,59,65,60,74,63,76,71,70,65
95,2019-11-03,58,75,75,33,68,39,70,71,56,6,56,77,35,60,51,80,66,61,53,74,62,55,58,61,30,63,27,89,84,70,67,23,58,50,66,54,63,51,33,35,54,72,47,73,48,68,69,75,75,65
96,2019-11-10,62,67,75,35,61,38,72,74,37,6,62,67,51,59,62,56,62,62,76,68,43,69,60,57,32,46,22,82,58,68,64,36,52,74,75,66,64,55,53,52,43,72,44,69,62,64,50,72,73,63
97,2019-11-17,59,79,82,30,63,42,73,80,48,6,77,79,59,49,54,42,61,44,56,72,50,59,64,67,38,56,23,79,89,78,77,33,49,39,61,68,59,53,49,38,47,79,52,55,47,68,69,75,85,75
98,2019-11-24,62,73,78,29,63,37,65,82,46,6,56,66,33,45,54,49,65,79,59,68,66,58,61,59,48,48,25,79,76,72,69,46,56,59,77,66,47,69,47,55,63,76,44,61,68,64,47,78,64,64
99,2019-12-01,48,74,80,30,51,39,68,78,45,7,41,69,28,52,67,61,66,79,47,67,67,67,61,69,33,58,32,79,100,74,76,56,49,28,65,65,42,63,36,48,58,70,41,50,67,67,62,77,63,66
100,2019-12-08,50,71,83,36,59,49,72,75,66,6,44,82,31,53,53,63,59,75,52,71,65,69,57,79,24,77,27,81,69,60,81,48,57,44,65,49,48,50,46,47,48,76,44,58,48,73,65,76,80,75
101,2019-12-15,67,64,82,44,54,35,79,74,29,5,48,67,23,52,46,68,71,67,45,72,69,57,58,62,21,50,23,79,79,77,65,32,46,31,74,67,58,62,29,57,36,80,70,65,76,65,60,79,80,82
102,2019-12-22,64,85,83,64,84,43,90,77,35,7,42,90,28,56,56,70,78,69,63,76,65,60,64,71,26,51,24,71,61,84,82,23,51,38,66,53,57,66,22,61,62,70,83,71,65,72,48,80,78,94
103,2019-12-29,52,89,82,45,56,42,85,79,44,6,55,93,40,73,30,83,64,58,56,81,66,60,64,53,39,74,35,85,53,85,85,52,54,42,85,61,64,67,47,56,66,68,56,60,49,67,61,79,73,91
104,2020-01-05,66,89,83,51,42,25,79,76,32,7,90,93,38,55,41,61,65,65,52,79,63,64,60,57,36,60,24,82,87,79,62,46,49,46,70,53,45,64,34,51,74,74,64,67,74,69,80,76,72,82
105,2020-01-12,64,94,79,21,67,35,80,70,47,8,50,66,16,54,48,61,61,59,54,83,83,59,61,61,39,68,27,88,90,83,64,41,64,48,91,79,42,65,33,49,85,60,38,72,49,70,63,77,72,60
106,2020-01-19,52,94,85,37,85,40,75,80,52,6,94,72,25,48,58,68,62,99,53,80,64,58,58,69,29,65,27,84,78,83,64,35,76,100,76,64,60,62,40,40,80,68,71,59,88,71,60,83,75,64
107,2020-01-26,48,78,76,39,63,52,71,78,27,7,16,67,34,65,54,67,62,86,56,74,64,69,58,78,33,88,22,80,61,69,87,43,61,51,68,70,43,50,35,91,49,66,53,53,59,77,58,74,90,68
108,2020-02-02,50,76,82,49,42,42,69,76,54,7,46,64,46,50,65,59,64,53,48,75,70,77,60,62,37,58,23,78,67,72,72,28,61,47,50,52,56,54,33,55,66,62,42,56,77,73,58,76,88,69
109,2020-02-09,55,64,75,74,54,37,70,76,48,6,29,71,33,52,66,31,68,70,57,73,72,71,57,68,27,73,28,81,64,57,73,36,56,40,71,69,51,53,34,46,49,60,74,59,42,76,62,78,72,77
110,2020-02-16,51,83,82,62,62,32,73,78,23,7,72,70,35,64,57,68,63,52,52,80,64,69,61,66,36,85,25,78,76,64,79,51,53,56,66,49,51,50,45,37,77,65,47,81,63,71,57,88,80,68
111,2020-02-23,64,77,76,29,61,31,72,75,44,6,13,71,30,56,32,42,69,61,57,72,79,58,60,50,42,71,18,79,76,71,71,35,50,43,74,55,43,62,40,60,50,77,63,86,64,61,45,81,70,63
112,2020-03-01,40,69,75,44,44,49,67,75,53,6,26,75,35,58,55,54,65,60,51,74,75,59,58,59,31,63,25,76,74,61,66,22,55,37,61,71,47,65,44,37,56,71,43,81,79,70,57,79,74,66
113,2020-03-08,58,65,75,49,63,39,66,77,34,5,0,64,56,55,38,43,64,46,58,76,77,60,56,54,31,75,26,79,78,62,76,40,47,60,76,58,41,52,34,45,69,71,49,64,60,70,64,78,78,66
114,2020-03-15,41,74,71,26,65,41,68,74,57,6,46,61,40,53,67,51,59,56,54,73,68,89,60,62,35,64,31,81,84,75,71,66,70,60,62,91,82,61,43,48,74,69,74,81,73,64,64,79,80,70
115,2020-03-22,52,100,79,45,56,44,71,84,28,7,55,71,55,53,60,55,50,55,52,83,66,90,66,75,41,85,26,69,87,63,64,62,62,48,75,55,45,64,50,48,60,64,41,75,81,67,60,83,77,70
116,2020-03-29,58,66,87,57,70,44,71,81,42,6,44,69,39,64,69,54,59,48,59,83,75,89,66,76,36,55,25,65,81,71,68,36,72,50,66,52,42,63,49,59,67,75,46,73,78,72,69,81,76,58
117,2020-04-05,56,75,98,57,84,49,72,87,66,7,92,72,44,74,54,48,67,74,59,91,83,71,69,80,31,64,26,72,54,73,83,63,67,74,63,65,51,72,44,54,100,82,69,69,84,73,86,88,83,67
118,2020-04-12,70,68,96,45,81,45,75,97,55,6,22,68,59,65,77,41,63,75,51,92,74,74,75,91,33,70,27,73,69,67,77,63,74,86,82,57,54,61,52,47,83,67,58,78,68,77,73,91,100,66
119,2020-04-19,65,81,93,44,58,72,76,90,42,7,64,75,44,70,88,57,65,69,64,90,78,58,74,71,34,92,30,73,80,77,82,66,67,61,83,79,68,76,51,61,74,100,73,100,90,86,81,93,77,63
