,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
27,2018-07-15,0,77,69,55,45,31,69,56,31,53,30,38,49,47,0,34,52,28,59,36,12,5,52,31,0,43,52,53,41,58,56,32,32,45,52,12,67,45,43,38,0,33,32,8,24,0,0,77,24,24
28,2018-07-22,51,63,73,41,24,0,67,41,73,27,30,21,28,42,14,7,43,18,72,35,35,17,65,15,37,62,33,52,40,55,33,49,42,58,20,12,45,41,29,18,100,51,25,25,48,0,17,69,29,38
29,2018-07-29,100,98,61,14,83,0,75,74,38,30,30,24,42,38,13,40,44,35,71,41,34,9,38,31,35,48,32,49,34,51,76,32,36,39,10,25,31,20,34,31,62,61,0,8,35,0,24,80,34,72
30,2018-08-05,33,80,71,27,49,32,90,47,29,61,0,58,88,43,38,61,44,43,64,36,23,14,78,31,0,33,36,53,28,50,0,29,11,49,40,38,34,58,21,24,0,47,31,34,100,19,23,65,9,22
31,2018-08-12,0,83,83,35,81,0,98,59,61,75,0,41,55,45,37,49,54,34,82,44,100,10,46,38,71,68,32,54,51,32,11,0,14,24,29,27,37,30,25,38,22,50,38,24,22,18,16,80,14,50
32,2018-08-19,38,85,88,34,61,0,76,71,28,62,0,32,76,41,12,22,65,93,90,34,23,5,54,40,37,64,69,53,33,48,23,48,27,36,60,15,40,56,22,51,21,50,22,57,44,48,11,72,32,29
33,2018-08-26,16,67,85,60,52,32,71,52,41,52,29,33,60,38,12,33,83,34,86,46,34,20,71,24,36,35,71,59,73,59,56,15,31,0,20,53,37,31,98,70,21,57,63,81,22,27,24,65,19,100
34,2018-09-02,47,65,73,73,75,31,78,55,42,44,27,47,66,53,61,100,75,34,74,41,44,25,95,54,0,85,62,58,28,48,11,79,63,0,30,26,35,30,14,55,21,52,18,16,43,19,17,65,20,48
35,2018-09-09,31,70,62,96,53,0,66,47,82,38,0,47,53,87,24,34,59,42,83,36,11,40,54,46,0,80,60,54,62,48,53,16,49,36,100,63,36,29,12,68,0,25,66,40,42,19,17,68,44,72
36,2018-09-16,44,66,57,54,40,0,80,69,77,39,0,38,40,76,74,34,72,17,76,35,33,27,84,31,0,47,48,57,35,46,42,44,55,36,40,40,25,15,31,100,0,57,42,49,32,9,8,72,29,22
