Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,JPN-KOR,0.9399467588706987,USA-VNM,-0.46164061335421813
2,CHE-DEU,0.9157950313176846,EGY-SWE,-0.41745521308735645
3,AUT-DEU,0.8892545037445522,FIN-IRN,-0.3937751700167762
4,AUT-CHE,0.8861353254529725,AUS-USA,-0.3804780204776611
5,POL-ROU,0.8837461981832044,EGY-USA,-0.3803971429845066
6,ESP-ITA,0.8784793198586195,EGY-FIN,-0.37521039295940295
7,ISR-PRT,0.8704325831229306,PAK-SWE,-0.37307917196680673
8,COL-MEX,0.8319415172017346,NZL-SWE,-0.37033820585026456
9,NOR-SWE,0.826555682524473,IRN-USA,-0.369937599172429
10,FRA-ITA,0.8201985113107273,AUS-SWE,-0.35775432289220915
