Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,GBR-IRL,0.9734618963373264,TUR-VNM,-0.423975972251639
2,ESP-FRA,0.8856401558508084,BRA-ROU,-0.4199457306822964
3,ESP-GBR,0.8790934121836004,JPN-TUR,-0.37949541492857225
4,FRA-GBR,0.8765543673835735,BRA-IRN,-0.3764861375077593
5,ESP-PRT,0.8745809675180977,DEU-IND,-0.3644653422269135
6,FRA-ITA,0.856058174152552,EGY-RUS,-0.3597080842458938
7,BEL-FRA,0.8482477787975174,MYS-ROU,-0.3537962760659805
8,AUS-NZL,0.8479888109722296,BEL-EGY,-0.34567492038855335
9,AUS-IRL,0.8459174752786458,EGY-ITA,-0.3352661734315235
10,CAN-GBR,0.8401017874365542,EGY-ROU,-0.3333505144624969
