Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,ESP-ITA,0.8851413944278302,ESP-THA,-0.6087710441134925
2,PHL-SAU,0.8009251254275348,IND-PHL,-0.5733611300447032
3,ITA-POL,0.7905997198967802,IND-IRL,-0.5548908638115199
4,FRA-NLD,0.7769687069623199,ITA-THA,-0.5448967723335886
5,ESP-PRT,0.7731558572121441,IND-SAU,-0.5400643630883103
6,ARG-COL,0.7698365631096974,AUS-TUR,-0.5388932259987697
7,FRA-IRL,0.7694937793693726,POL-THA,-0.5301787046129837
8,ESP-POL,0.7602983543289404,THA-VNM,-0.5154454704855179
9,AUS-ZAF,0.7467188547352136,FRA-IND,-0.5103662329951015
10,AUS-COL,0.7426422728854642,IND-TUR,-0.49626400033961315
