Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,BGD-PAK,0.9879995258992207,EGY-PRT,-0.620358278025244
2,BGD-IND,0.9878149938991259,PRT-THA,-0.5738890728665379
3,JPN-ZAF,0.9859168917674017,BGD-PRT,-0.5408692729217889
4,JPN-SGP,0.9858017169907491,IND-PRT,-0.5303007843479446
5,ARE-PAK,0.9817867185677807,BRA-EGY,-0.5278266737887913
6,IND-PAK,0.9806960429873204,CHL-PRT,-0.5223053727295128
7,IND-NZL,0.9793820864678877,PAK-PRT,-0.5180292347988135
8,AUS-NZL,0.9775695909672067,ARE-PRT,-0.49985790324011276
9,NGA-SGP,0.9769184307385825,NZL-PRT,-0.49885212312991184
10,AUS-SGP,0.9766894431631225,NGA-PRT,-0.46990828883088565
