Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,CAN-GBR,0.8184605721591102,JPN-THA,-0.49469938455739854
2,AUS-NZL,0.8050035484250567,IND-RUS,-0.40152514027524666
3,CAN-USA,0.7948264004749732,ITA-JPN,-0.386839446535792
4,AUS-ZAF,0.7803257825541975,NGA-TUR,-0.33258581635906403
5,ITA-THA,0.7431518021434725,BRA-CHN,-0.32075796862649897
6,FRA-ITA,0.7359915921043999,CHN-COL,-0.312919390384354
7,ARE-GBR,0.7220601792402659,CHN-PHL,-0.30875583548474694
8,DEU-ITA,0.7194349844273085,CHN-VNM,-0.3024449400443151
9,GBR-USA,0.7094093487021045,JPN-TUR,-0.2989658665772714
10,GBR-IRL,0.671675554167364,CHE-JPN,-0.28531979708310423
