Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,ARG-MEX,0.9401212747115644,IRN-VNM,-0.7197830739430796
2,MEX-PER,0.9154583859792603,ARG-IRN,-0.7124650459093008
3,ARG-PER,0.9049536916573637,IRN-MEX,-0.7024468599269433
4,COL-PER,0.8897500456841358,IRN-PER,-0.6934649577470534
5,CHL-PER,0.8880608521057639,CHL-IRN,-0.6332547282700639
6,MEX-VNM,0.8825022735411345,COL-IRN,-0.6150777061706294
7,CHL-MEX,0.8767775583115766,BRA-IRN,-0.5828061337956908
8,ARG-CHL,0.8705974903854684,BGD-IRN,-0.5744513987021245
9,BRA-PER,0.8638464395079237,IRN-TUR,-0.5658912386384402
10,ARG-VNM,0.8637495819557764,IRN-MYS,-0.5427018083063186
