Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,ESP-ITA,0.9229799290233158,IND-PHL,-0.6912878326547038
2,ARG-MEX,0.9105348953320954,ESP-THA,-0.6782939026461723
3,ITA-PRT,0.9101504056767127,FRA-THA,-0.6647622883338455
4,ESP-PRT,0.9021943023568024,ITA-THA,-0.6551660273529418
5,BEL-PRT,0.8728224993841894,CHE-THA,-0.6459821549319203
6,ESP-VNM,0.8518828394155356,THA-VNM,-0.6437180758544861
7,BRA-COL,0.8499346395224741,PRT-THA,-0.6383029280846688
8,ITA-NGA,0.8460423314549317,PHL-RUS,-0.6183328288942839
9,ESP-NGA,0.8332601908293952,BEL-THA,-0.5947314570803518
10,CHL-MEX,0.8308077428962847,GBR-THA,-0.5817901214238684
