Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,CAN-USA,0.9469603701438103,IND-VNM,-0.5129472827307456
2,CAN-GBR,0.8463048857702247,CHL-FRA,-0.38302836892419034
3,GBR-USA,0.8395304621812111,PAK-VNM,-0.30027618017108804
4,GBR-IRL,0.7532468127483959,CHL-FIN,-0.29896786870957975
5,CAN-IRL,0.7182922768174524,CZE-IND,-0.28317030732732584
6,IRL-USA,0.7010797339634275,ARG-USA,-0.27630296927235054
7,NLD-TUR,0.661246426299155,IND-POL,-0.26587711194969876
8,BRA-TUR,0.6489611746285917,SGP-SWE,-0.2597719080500185
9,BRA-NLD,0.6221522500287795,IDN-IND,-0.25478086355425833
10,IDN-TUR,0.6200339159997249,SGP-TUR,-0.2475590388711486
