Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,BEL-FRA,0.8770163657044316,CAN-IDN,-0.4143367824032016
2,CHE-FRA,0.6997975326290244,PAK-PER,-0.27409679128142767
3,BEL-CHE,0.6893289626616298,GBR-PER,-0.2713881235835328
4,CAN-FRA,0.6220407721276215,AUS-RUS,-0.25549562935828724
5,IDN-USA,0.48223146525817595,MYS-PRT,-0.24312066688114628
6,BEL-CAN,0.4748127020842197,EGY-USA,-0.2395644065822182
7,CAN-CHE,0.4576260051271482,CAN-MEX,-0.2388647594081268
8,CAN-THA,0.42290631000148793,AUS-SWE,-0.2369849510835321
9,FRA-THA,0.3875284210968874,FIN-THA,-0.23667892106613578
10,CHE-THA,0.34177046431614877,EGY-IDN,-0.23042945931815717
