date,Music_US
2018-01-07,90
2018-01-14,85
2018-01-21,87
2018-01-28,94
2018-02-04,86
2018-02-11,90
2018-02-18,89
2018-02-25,89
2018-03-04,90
2018-03-11,87
2018-03-18,89
2018-03-25,87
2018-04-01,89
2018-04-08,84
2018-04-15,89
2018-04-22,90
2018-04-29,90
2018-05-06,92
2018-05-13,89
2018-05-20,96
2018-05-27,88
2018-06-03,87
2018-06-10,87
2018-06-17,81
2018-06-24,82
2018-07-01,81
2018-07-08,81
2018-07-15,84
2018-07-22,84
2018-07-29,82
2018-08-05,81
2018-08-12,86
2018-08-19,87
2018-08-26,87
2018-09-02,87
2018-09-09,82
2018-09-16,90
2018-09-23,91
2018-09-30,88
2018-10-07,90
2018-10-14,83
2018-10-21,85
2018-10-28,91
2018-11-04,87
2018-11-11,89
2018-11-18,84
2018-11-25,97
2018-12-02,100
2018-12-09,96
2018-12-16,94
2018-12-23,87
2018-12-30,82
2019-01-06,84
2019-01-13,85
2019-01-20,84
2019-01-27,84
2019-02-03,84
2019-02-10,86
2019-02-17,84
2019-02-24,85
2019-03-03,84
2019-03-10,84
2019-03-17,86
2019-03-24,85
2019-03-31,85
2019-04-07,85
2019-04-14,82
2019-04-21,85
2019-04-28,95
2019-05-05,83
2019-05-12,85
2019-05-19,82
2019-05-26,84
2019-06-02,83
2019-06-09,79
2019-06-16,78
2019-06-23,80
2019-06-30,79
2019-07-07,79
2019-07-14,76
2019-07-21,77
2019-07-28,76
2019-08-04,79
2019-08-11,81
2019-08-18,83
2019-08-25,81
2019-09-01,80
2019-09-08,83
2019-09-15,85
2019-09-22,84
2019-09-29,82
2019-10-06,82
2019-10-13,80
2019-10-20,80
2019-10-27,82
2019-11-03,82
2019-11-10,86
2019-11-17,85
2019-11-24,87
2019-12-01,88
2019-12-08,92
2019-12-15,85
2019-12-22,85
2019-12-29,75
2020-01-05,81
2020-01-12,88
2020-01-19,83
2020-01-26,83
2020-02-02,80
2020-02-09,81
2020-02-16,81
2020-02-23,83
2020-03-01,81
2020-03-08,76
