date,Arts_RU
2018-01-07,83
2018-01-14,89
2018-01-21,82
2018-01-28,91
2018-02-04,88
2018-02-11,81
2018-02-18,80
2018-02-25,81
2018-03-04,79
2018-03-11,85
2018-03-18,83
2018-03-25,79
2018-04-01,90
2018-04-08,83
2018-04-15,90
2018-04-22,87
2018-04-29,77
2018-05-06,82
2018-05-13,93
2018-05-20,84
2018-05-27,81
2018-06-03,81
2018-06-10,74
2018-06-17,69
2018-06-24,70
2018-07-01,66
2018-07-08,74
2018-07-15,70
2018-07-22,62
2018-07-29,68
2018-08-05,75
2018-08-12,74
2018-08-19,74
2018-08-26,82
2018-09-02,85
2018-09-09,92
2018-09-16,87
2018-09-23,91
2018-09-30,82
2018-10-07,96
2018-10-14,92
2018-10-21,94
2018-10-28,91
2018-11-04,94
2018-11-11,92
2018-11-18,91
2018-11-25,85
2018-12-02,100
2018-12-09,88
2018-12-16,90
2018-12-23,83
2018-12-30,73
2019-01-06,78
2019-01-13,86
2019-01-20,82
2019-01-27,66
2019-02-03,70
2019-02-10,69
2019-02-17,73
2019-02-24,72
2019-03-03,68
2019-03-10,65
2019-03-17,74
2019-03-24,63
2019-03-31,81
2019-04-07,86
2019-04-14,85
2019-04-21,79
2019-04-28,78
2019-05-05,75
2019-05-12,92
2019-05-19,82
2019-05-26,88
2019-06-02,77
2019-06-09,80
2019-06-16,75
2019-06-23,71
2019-06-30,72
2019-07-07,79
2019-07-14,75
2019-07-21,67
2019-07-28,69
2019-08-04,70
2019-08-11,71
2019-08-18,74
2019-08-25,76
2019-09-01,69
2019-09-08,84
2019-09-15,80
2019-09-22,85
2019-09-29,87
2019-10-06,79
2019-10-13,88
2019-10-20,80
2019-10-27,79
2019-11-03,77
2019-11-10,78
2019-11-17,79
2019-11-24,77
2019-12-01,77
2019-12-08,83
2019-12-15,82
2019-12-22,76
2019-12-29,69
2020-01-05,77
2020-01-12,79
2020-01-19,82
2020-01-26,81
2020-02-02,79
2020-02-09,82
2020-02-16,78
2020-02-23,81
2020-03-01,82
2020-03-08,79
