date,Collecting_SA
2018-01-07,37
2018-01-14,40
2018-01-21,66
2018-01-28,22
2018-02-04,15
2018-02-11,50
2018-02-18,43
2018-02-25,22
2018-03-04,37
2018-03-11,30
2018-03-18,0
2018-03-25,30
2018-04-01,30
2018-04-08,67
2018-04-15,67
2018-04-22,44
2018-04-29,30
2018-05-06,52
2018-05-13,52
2018-05-20,32
2018-05-27,48
2018-06-03,40
2018-06-10,33
2018-06-17,33
2018-06-24,43
2018-07-01,15
2018-07-08,38
2018-07-15,31
2018-07-22,23
2018-07-29,23
2018-08-05,45
2018-08-12,31
2018-08-19,18
2018-08-26,54
2018-09-02,22
2018-09-09,37
2018-09-16,22
2018-09-23,53
2018-09-30,22
2018-10-07,59
2018-10-14,15
2018-10-21,23
2018-10-28,30
2018-11-04,44
2018-11-11,31
2018-11-18,100
2018-11-25,61
2018-12-02,31
2018-12-09,53
2018-12-16,38
2018-12-23,31
2018-12-30,8
2019-01-06,15
2019-01-13,22
2019-01-20,59
2019-01-27,15
2019-02-03,45
2019-02-10,72
2019-02-17,45
2019-02-24,15
2019-03-03,45
2019-03-10,30
2019-03-17,53
2019-03-24,45
2019-03-31,52
2019-04-07,22
2019-04-14,37
2019-04-21,15
2019-04-28,7
2019-05-05,68
2019-05-12,15
2019-05-19,22
2019-05-26,68
2019-06-02,9
2019-06-09,44
2019-06-16,36
2019-06-23,7
2019-06-30,22
2019-07-07,7
2019-07-14,7
2019-07-21,15
2019-07-28,53
2019-08-04,39
2019-08-11,18
2019-08-18,22
2019-08-25,43
2019-09-01,78
2019-09-08,42
2019-09-15,20
2019-09-22,29
2019-09-29,34
2019-10-06,21
2019-10-13,21
2019-10-20,28
2019-10-27,35
2019-11-03,41
2019-11-10,56
2019-11-17,56
2019-11-24,21
2019-12-01,21
2019-12-08,48
2019-12-15,54
2019-12-22,20
2019-12-29,26
2020-01-05,29
2020-01-12,28
2020-01-19,27
2020-01-26,13
2020-02-02,33
2020-02-09,26
2020-02-16,26
2020-02-23,32
2020-03-01,19
2020-03-08,19
