date,Crafts_IT
2018-01-07,61
2018-01-14,49
2018-01-21,72
2018-01-28,43
2018-02-04,47
2018-02-11,52
2018-02-18,63
2018-02-25,63
2018-03-04,54
2018-03-11,58
2018-03-18,56
2018-03-25,54
2018-04-01,57
2018-04-08,38
2018-04-15,60
2018-04-22,45
2018-04-29,55
2018-05-06,45
2018-05-13,62
2018-05-20,45
2018-05-27,39
2018-06-03,50
2018-06-10,53
2018-06-17,47
2018-06-24,47
2018-07-01,35
2018-07-08,44
2018-07-15,41
2018-07-22,42
2018-07-29,38
2018-08-05,35
2018-08-12,50
2018-08-19,46
2018-08-26,56
2018-09-02,37
2018-09-09,38
2018-09-16,60
2018-09-23,53
2018-09-30,36
2018-10-07,47
2018-10-14,56
2018-10-21,61
2018-10-28,52
2018-11-04,56
2018-11-11,45
2018-11-18,69
2018-11-25,56
2018-12-02,64
2018-12-09,48
2018-12-16,73
2018-12-23,66
2018-12-30,58
2019-01-06,44
2019-01-13,58
2019-01-20,66
2019-01-27,73
2019-02-03,53
2019-02-10,73
2019-02-17,71
2019-02-24,57
2019-03-03,67
2019-03-10,65
2019-03-17,85
2019-03-24,64
2019-03-31,60
2019-04-07,60
2019-04-14,54
2019-04-21,71
2019-04-28,46
2019-05-05,59
2019-05-12,48
2019-05-19,52
2019-05-26,57
2019-06-02,41
2019-06-09,62
2019-06-16,48
2019-06-23,43
2019-06-30,46
2019-07-07,48
2019-07-14,57
2019-07-21,51
2019-07-28,52
2019-08-04,48
2019-08-11,44
2019-08-18,60
2019-08-25,52
2019-09-01,47
2019-09-08,45
2019-09-15,52
2019-09-22,40
2019-09-29,46
2019-10-06,49
2019-10-13,46
2019-10-20,42
2019-10-27,39
2019-11-03,59
2019-11-10,46
2019-11-17,57
2019-11-24,46
2019-12-01,58
2019-12-08,57
2019-12-15,65
2019-12-22,74
2019-12-29,44
2020-01-05,58
2020-01-12,58
2020-01-19,51
2020-01-26,48
2020-02-02,45
2020-02-09,56
2020-02-16,56
2020-02-23,54
2020-03-01,59
2020-03-08,100
