date,Performing_Art_HK
2018-01-07,63
2018-01-14,60
2018-01-21,30
2018-01-28,62
2018-02-04,61
2018-02-11,0
2018-02-18,81
2018-02-25,48
2018-03-04,24
2018-03-11,47
2018-03-18,24
2018-03-25,25
2018-04-01,26
2018-04-08,98
2018-04-15,0
2018-04-22,24
2018-04-29,50
2018-05-06,73
2018-05-13,76
2018-05-20,0
2018-05-27,25
2018-06-03,49
2018-06-10,0
2018-06-17,51
2018-06-24,100
2018-07-01,26
2018-07-08,0
2018-07-15,25
2018-07-22,51
2018-07-29,0
2018-08-05,49
2018-08-12,24
2018-08-19,50
2018-08-26,25
2018-09-02,97
2018-09-09,0
2018-09-16,47
2018-09-23,0
2018-09-30,74
2018-10-07,48
2018-10-14,50
2018-10-21,24
2018-10-28,0
2018-11-04,47
2018-11-11,24
2018-11-18,24
2018-11-25,24
2018-12-02,48
2018-12-09,76
2018-12-16,0
2018-12-23,0
2018-12-30,27
2019-01-06,0
2019-01-13,0
2019-01-20,25
2019-01-27,51
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,46
2019-03-03,23
2019-03-10,47
2019-03-17,23
2019-03-24,0
2019-03-31,96
2019-04-07,46
2019-04-14,72
2019-04-21,24
2019-04-28,23
2019-05-05,0
2019-05-12,47
2019-05-19,45
2019-05-26,93
2019-06-02,24
2019-06-09,0
2019-06-16,74
2019-06-23,24
2019-06-30,25
2019-07-07,0
2019-07-14,48
2019-07-21,78
2019-07-28,51
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,24
2019-09-01,23
2019-09-08,0
2019-09-15,22
2019-09-22,23
2019-09-29,0
2019-10-06,22
2019-10-13,44
2019-10-20,0
2019-10-27,0
2019-11-03,44
2019-11-10,45
2019-11-17,22
2019-11-24,43
2019-12-01,46
2019-12-08,0
2019-12-15,66
2019-12-22,0
2019-12-29,23
2020-01-05,64
2020-01-12,42
2020-01-19,23
2020-01-26,25
2020-02-02,42
2020-02-09,0
2020-02-16,40
2020-02-23,37
2020-03-01,0
2020-03-08,19
