date,Cooking_RU
2018-01-07,72
2018-01-14,70
2018-01-21,76
2018-01-28,65
2018-02-04,68
2018-02-11,84
2018-02-18,73
2018-02-25,79
2018-03-04,60
2018-03-11,73
2018-03-18,79
2018-03-25,62
2018-04-01,76
2018-04-08,68
2018-04-15,51
2018-04-22,58
2018-04-29,58
2018-05-06,69
2018-05-13,68
2018-05-20,69
2018-05-27,56
2018-06-03,58
2018-06-10,48
2018-06-17,68
2018-06-24,56
2018-07-01,60
2018-07-08,56
2018-07-15,53
2018-07-22,56
2018-07-29,67
2018-08-05,63
2018-08-12,68
2018-08-19,67
2018-08-26,73
2018-09-02,70
2018-09-09,74
2018-09-16,68
2018-09-23,69
2018-09-30,71
2018-10-07,84
2018-10-14,100
2018-10-21,83
2018-10-28,89
2018-11-04,85
2018-11-11,68
2018-11-18,75
2018-11-25,70
2018-12-02,63
2018-12-09,81
2018-12-16,70
2018-12-23,90
2018-12-30,84
2019-01-06,71
2019-01-13,88
2019-01-20,60
2019-01-27,79
2019-02-03,65
2019-02-10,60
2019-02-17,62
2019-02-24,78
2019-03-03,55
2019-03-10,54
2019-03-17,69
2019-03-24,58
2019-03-31,72
2019-04-07,73
2019-04-14,80
2019-04-21,76
2019-04-28,76
2019-05-05,62
2019-05-12,72
2019-05-19,61
2019-05-26,54
2019-06-02,71
2019-06-09,65
2019-06-16,62
2019-06-23,83
2019-06-30,64
2019-07-07,79
2019-07-14,93
2019-07-21,66
2019-07-28,60
2019-08-04,83
2019-08-11,79
2019-08-18,74
2019-08-25,75
2019-09-01,83
2019-09-08,93
2019-09-15,70
2019-09-22,78
2019-09-29,66
2019-10-06,84
2019-10-13,85
2019-10-20,70
2019-10-27,81
2019-11-03,76
2019-11-10,75
2019-11-17,94
2019-11-24,96
2019-12-01,83
2019-12-08,73
2019-12-15,78
2019-12-22,89
2019-12-29,85
2020-01-05,70
2020-01-12,74
2020-01-19,78
2020-01-26,71
2020-02-02,84
2020-02-09,71
2020-02-16,69
2020-02-23,85
2020-03-01,74
2020-03-08,69
