date,Pets_PK
2018-01-07,39
2018-01-14,57
2018-01-21,52
2018-01-28,43
2018-02-04,66
2018-02-11,82
2018-02-18,83
2018-02-25,98
2018-03-04,61
2018-03-11,58
2018-03-18,66
2018-03-25,55
2018-04-01,51
2018-04-08,71
2018-04-15,56
2018-04-22,52
2018-04-29,53
2018-05-06,43
2018-05-13,52
2018-05-20,64
2018-05-27,46
2018-06-03,53
2018-06-10,43
2018-06-17,54
2018-06-24,53
2018-07-01,44
2018-07-08,82
2018-07-15,64
2018-07-22,41
2018-07-29,57
2018-08-05,97
2018-08-12,40
2018-08-19,52
2018-08-26,74
2018-09-02,59
2018-09-09,47
2018-09-16,66
2018-09-23,52
2018-09-30,58
2018-10-07,62
2018-10-14,46
2018-10-21,49
2018-10-28,58
2018-11-04,52
2018-11-11,53
2018-11-18,56
2018-11-25,50
2018-12-02,63
2018-12-09,75
2018-12-16,63
2018-12-23,64
2018-12-30,40
2019-01-06,69
2019-01-13,78
2019-01-20,54
2019-01-27,56
2019-02-03,51
2019-02-10,58
2019-02-17,67
2019-02-24,69
2019-03-03,60
2019-03-10,67
2019-03-17,68
2019-03-24,68
2019-03-31,60
2019-04-07,80
2019-04-14,47
2019-04-21,55
2019-04-28,63
2019-05-05,58
2019-05-12,91
2019-05-19,79
2019-05-26,65
2019-06-02,52
2019-06-09,49
2019-06-16,60
2019-06-23,71
2019-06-30,72
2019-07-07,62
2019-07-14,95
2019-07-21,47
2019-07-28,65
2019-08-04,53
2019-08-11,74
2019-08-18,69
2019-08-25,70
2019-09-01,77
2019-09-08,75
2019-09-15,67
2019-09-22,63
2019-09-29,77
2019-10-06,59
2019-10-13,79
2019-10-20,60
2019-10-27,73
2019-11-03,78
2019-11-10,68
2019-11-17,67
2019-11-24,100
2019-12-01,66
2019-12-08,68
2019-12-15,81
2019-12-22,59
2019-12-29,70
2020-01-05,79
2020-01-12,86
2020-01-19,83
2020-01-26,67
2020-02-02,49
2020-02-09,74
2020-02-16,70
2020-02-23,81
2020-03-01,74
2020-03-08,66
