date,Music_NG
2018-01-07,71
2018-01-14,70
2018-01-21,69
2018-01-28,68
2018-02-04,75
2018-02-11,77
2018-02-18,70
2018-02-25,78
2018-03-04,71
2018-03-11,67
2018-03-18,75
2018-03-25,81
2018-04-01,72
2018-04-08,69
2018-04-15,79
2018-04-22,76
2018-04-29,79
2018-05-06,82
2018-05-13,80
2018-05-20,83
2018-05-27,78
2018-06-03,82
2018-06-10,82
2018-06-17,79
2018-06-24,74
2018-07-01,73
2018-07-08,74
2018-07-15,79
2018-07-22,74
2018-07-29,77
2018-08-05,72
2018-08-12,78
2018-08-19,81
2018-08-26,74
2018-09-02,75
2018-09-09,79
2018-09-16,71
2018-09-23,67
2018-09-30,70
2018-10-07,82
2018-10-14,80
2018-10-21,80
2018-10-28,82
2018-11-04,78
2018-11-11,91
2018-11-18,84
2018-11-25,91
2018-12-02,88
2018-12-09,100
2018-12-16,96
2018-12-23,95
2018-12-30,92
2019-01-06,90
2019-01-13,83
2019-01-20,83
2019-01-27,78
2019-02-03,80
2019-02-10,91
2019-02-17,87
2019-02-24,71
2019-03-03,85
2019-03-10,74
2019-03-17,82
2019-03-24,88
2019-03-31,85
2019-04-07,86
2019-04-14,86
2019-04-21,82
2019-04-28,87
2019-05-05,87
2019-05-12,82
2019-05-19,93
2019-05-26,86
2019-06-02,90
2019-06-09,88
2019-06-16,85
2019-06-23,78
2019-06-30,89
2019-07-07,78
2019-07-14,83
2019-07-21,82
2019-07-28,79
2019-08-04,78
2019-08-11,86
2019-08-18,78
2019-08-25,78
2019-09-01,85
2019-09-08,79
2019-09-15,76
2019-09-22,76
2019-09-29,76
2019-10-06,78
2019-10-13,81
2019-10-20,74
2019-10-27,76
2019-11-03,75
2019-11-10,77
2019-11-17,81
2019-11-24,73
2019-12-01,82
2019-12-08,82
2019-12-15,86
2019-12-22,87
2019-12-29,81
2020-01-05,75
2020-01-12,70
2020-01-19,75
2020-01-26,73
2020-02-02,78
2020-02-09,78
2020-02-16,75
2020-02-23,70
2020-03-01,72
2020-03-08,73
