date,Sports_VN
2018-01-07,52
2018-01-14,75
2018-01-21,100
2018-01-28,59
2018-02-04,56
2018-02-11,59
2018-02-18,52
2018-02-25,53
2018-03-04,58
2018-03-11,57
2018-03-18,55
2018-03-25,53
2018-04-01,59
2018-04-08,59
2018-04-15,52
2018-04-22,58
2018-04-29,53
2018-05-06,50
2018-05-13,49
2018-05-20,47
2018-05-27,50
2018-06-03,49
2018-06-10,64
2018-06-17,79
2018-06-24,74
2018-07-01,67
2018-07-08,56
2018-07-15,43
2018-07-22,42
2018-07-29,44
2018-08-05,52
2018-08-12,69
2018-08-19,81
2018-08-26,81
2018-09-02,50
2018-09-09,43
2018-09-16,46
2018-09-23,48
2018-09-30,47
2018-10-07,45
2018-10-14,47
2018-10-21,48
2018-10-28,50
2018-11-04,55
2018-11-11,57
2018-11-18,56
2018-11-25,54
2018-12-02,69
2018-12-09,65
2018-12-16,56
2018-12-23,51
2018-12-30,60
2019-01-06,63
2019-01-13,76
2019-01-20,88
2019-01-27,54
2019-02-03,49
2019-02-10,50
2019-02-17,54
2019-02-24,54
2019-03-03,55
2019-03-10,55
2019-03-17,52
2019-03-24,64
2019-03-31,55
2019-04-07,55
2019-04-14,52
2019-04-21,47
2019-04-28,50
2019-05-05,54
2019-05-12,46
2019-05-19,43
2019-05-26,47
2019-06-02,57
2019-06-09,44
2019-06-16,43
2019-06-23,47
2019-06-30,43
2019-07-07,44
2019-07-14,43
2019-07-21,43
2019-07-28,43
2019-08-04,46
2019-08-11,47
2019-08-18,49
2019-08-25,53
2019-09-01,53
2019-09-08,49
2019-09-15,44
2019-09-22,45
2019-09-29,47
2019-10-06,52
2019-10-13,53
2019-10-20,45
2019-10-27,45
2019-11-03,44
2019-11-10,53
2019-11-17,48
2019-11-24,60
2019-12-01,73
2019-12-08,63
2019-12-15,45
2019-12-22,44
2019-12-29,42
2020-01-05,48
2020-01-12,55
2020-01-19,42
2020-01-26,40
2020-02-02,35
2020-02-09,34
2020-02-16,36
2020-02-23,36
2020-03-01,36
2020-03-08,35
