date,Pets_IR
2018-01-07,37
2018-01-14,23
2018-01-21,35
2018-01-28,30
2018-02-04,25
2018-02-11,27
2018-02-18,30
2018-02-25,29
2018-03-04,34
2018-03-11,16
2018-03-18,22
2018-03-25,22
2018-04-01,23
2018-04-08,34
2018-04-15,26
2018-04-22,24
2018-04-29,38
2018-05-06,20
2018-05-13,34
2018-05-20,32
2018-05-27,48
2018-06-03,36
2018-06-10,49
2018-06-17,37
2018-06-24,37
2018-07-01,29
2018-07-08,28
2018-07-15,27
2018-07-22,27
2018-07-29,55
2018-08-05,39
2018-08-12,25
2018-08-19,38
2018-08-26,39
2018-09-02,25
2018-09-09,34
2018-09-16,42
2018-09-23,31
2018-09-30,34
2018-10-07,27
2018-10-14,29
2018-10-21,33
2018-10-28,49
2018-11-04,31
2018-11-11,47
2018-11-18,31
2018-11-25,31
2018-12-02,21
2018-12-09,26
2018-12-16,29
2018-12-23,48
2018-12-30,26
2019-01-06,27
2019-01-13,33
2019-01-20,33
2019-01-27,29
2019-02-03,27
2019-02-10,25
2019-02-17,31
2019-02-24,31
2019-03-03,36
2019-03-10,29
2019-03-17,36
2019-03-24,25
2019-03-31,33
2019-04-07,31
2019-04-14,29
2019-04-21,41
2019-04-28,35
2019-05-05,28
2019-05-12,19
2019-05-19,52
2019-05-26,53
2019-06-02,32
2019-06-09,50
2019-06-16,34
2019-06-23,32
2019-06-30,46
2019-07-07,30
2019-07-14,54
2019-07-21,43
2019-07-28,44
2019-08-04,50
2019-08-11,68
2019-08-18,100
2019-08-25,79
2019-09-01,91
2019-09-08,55
2019-09-15,61
2019-09-22,41
2019-09-29,34
2019-10-06,42
2019-10-13,30
2019-10-20,41
2019-10-27,36
2019-11-03,43
2019-11-10,35
2019-11-17,25
2019-11-24,21
2019-12-01,36
2019-12-08,35
2019-12-15,32
2019-12-22,39
2019-12-29,31
2020-01-05,41
2020-01-12,33
2020-01-19,33
2020-01-26,26
2020-02-02,31
2020-02-09,35
2020-02-16,36
2020-02-23,39
2020-03-01,41
2020-03-08,44
