date,Game_AR
2018-01-07,82
2018-01-14,87
2018-01-21,87
2018-01-28,83
2018-02-04,82
2018-02-11,93
2018-02-18,85
2018-02-25,90
2018-03-04,81
2018-03-11,79
2018-03-18,82
2018-03-25,92
2018-04-01,88
2018-04-08,77
2018-04-15,83
2018-04-22,80
2018-04-29,100
2018-05-06,87
2018-05-13,82
2018-05-20,92
2018-05-27,85
2018-06-03,80
2018-06-10,86
2018-06-17,97
2018-06-24,96
2018-07-01,80
2018-07-08,87
2018-07-15,91
2018-07-22,88
2018-07-29,77
2018-08-05,80
2018-08-12,80
2018-08-19,80
2018-08-26,78
2018-09-02,80
2018-09-09,80
2018-09-16,77
2018-09-23,81
2018-09-30,86
2018-10-07,89
2018-10-14,84
2018-10-21,76
2018-10-28,77
2018-11-04,68
2018-11-11,70
2018-11-18,72
2018-11-25,76
2018-12-02,71
2018-12-09,70
2018-12-16,71
2018-12-23,63
2018-12-30,64
2019-01-06,59
2019-01-13,66
2019-01-20,62
2019-01-27,54
2019-02-03,51
2019-02-10,47
2019-02-17,49
2019-02-24,48
2019-03-03,49
2019-03-10,47
2019-03-17,48
2019-03-24,46
2019-03-31,62
2019-04-07,60
2019-04-14,69
2019-04-21,64
2019-04-28,68
2019-05-05,68
2019-05-12,67
2019-05-19,69
2019-05-26,70
2019-06-02,64
2019-06-09,67
2019-06-16,81
2019-06-23,82
2019-06-30,76
2019-07-07,71
2019-07-14,65
2019-07-21,81
2019-07-28,87
2019-08-04,87
2019-08-11,73
2019-08-18,70
2019-08-25,69
2019-09-01,66
2019-09-08,69
2019-09-15,65
2019-09-22,63
2019-09-29,65
2019-10-06,65
2019-10-13,63
2019-10-20,58
2019-10-27,59
2019-11-03,59
2019-11-10,61
2019-11-17,64
2019-11-24,63
2019-12-01,58
2019-12-08,61
2019-12-15,60
2019-12-22,58
2019-12-29,59
2020-01-05,56
2020-01-12,56
2020-01-19,61
2020-01-26,60
2020-02-02,60
2020-02-09,63
2020-02-16,66
2020-02-23,74
2020-03-01,64
2020-03-08,61
