date,Learning_ZA
2018-01-07,46
2018-01-14,51
2018-01-21,54
2018-01-28,52
2018-02-04,67
2018-02-11,75
2018-02-18,78
2018-02-25,85
2018-03-04,89
2018-03-11,100
2018-03-18,77
2018-03-25,78
2018-04-01,77
2018-04-08,97
2018-04-15,86
2018-04-22,76
2018-04-29,76
2018-05-06,78
2018-05-13,65
2018-05-20,70
2018-05-27,62
2018-06-03,58
2018-06-10,57
2018-06-17,53
2018-06-24,42
2018-07-01,39
2018-07-08,46
2018-07-15,56
2018-07-22,65
2018-07-29,64
2018-08-05,59
2018-08-12,77
2018-08-19,82
2018-08-26,79
2018-09-02,69
2018-09-09,71
2018-09-16,61
2018-09-23,60
2018-09-30,53
2018-10-07,65
2018-10-14,59
2018-10-21,59
2018-10-28,49
2018-11-04,50
2018-11-11,41
2018-11-18,45
2018-11-25,34
2018-12-02,34
2018-12-09,37
2018-12-16,28
2018-12-23,23
2018-12-30,32
2019-01-06,50
2019-01-13,50
2019-01-20,48
2019-01-27,53
2019-02-03,58
2019-02-10,68
2019-02-17,69
2019-02-24,76
2019-03-03,72
2019-03-10,79
2019-03-17,68
2019-03-24,60
2019-03-31,76
2019-04-07,82
2019-04-14,65
2019-04-21,68
2019-04-28,55
2019-05-05,58
2019-05-12,63
2019-05-19,66
2019-05-26,58
2019-06-02,48
2019-06-09,54
2019-06-16,47
2019-06-23,39
2019-06-30,35
2019-07-07,52
2019-07-14,65
2019-07-21,58
2019-07-28,59
2019-08-04,59
2019-08-11,67
2019-08-18,71
2019-08-25,74
2019-09-01,73
2019-09-08,64
2019-09-15,59
2019-09-22,49
2019-09-29,52
2019-10-06,59
2019-10-13,61
2019-10-20,54
2019-10-27,51
2019-11-03,49
2019-11-10,44
2019-11-17,42
2019-11-24,35
2019-12-01,32
2019-12-08,28
2019-12-15,24
2019-12-22,26
2019-12-29,31
2020-01-05,42
2020-01-12,46
2020-01-19,54
2020-01-26,47
2020-02-02,47
2020-02-09,57
2020-02-16,68
2020-02-23,83
2020-03-01,67
2020-03-08,71
