date,Music_RO
2018-01-07,83
2018-01-14,77
2018-01-21,83
2018-01-28,80
2018-02-04,80
2018-02-11,78
2018-02-18,79
2018-02-25,72
2018-03-04,72
2018-03-11,76
2018-03-18,70
2018-03-25,78
2018-04-01,81
2018-04-08,82
2018-04-15,72
2018-04-22,78
2018-04-29,85
2018-05-06,77
2018-05-13,74
2018-05-20,77
2018-05-27,84
2018-06-03,75
2018-06-10,74
2018-06-17,72
2018-06-24,68
2018-07-01,71
2018-07-08,68
2018-07-15,73
2018-07-22,70
2018-07-29,77
2018-08-05,78
2018-08-12,79
2018-08-19,74
2018-08-26,79
2018-09-02,77
2018-09-09,75
2018-09-16,70
2018-09-23,71
2018-09-30,72
2018-10-07,74
2018-10-14,72
2018-10-21,73
2018-10-28,75
2018-11-04,78
2018-11-11,73
2018-11-18,71
2018-11-25,74
2018-12-02,73
2018-12-09,70
2018-12-16,79
2018-12-23,100
2018-12-30,91
2019-01-06,68
2019-01-13,67
2019-01-20,69
2019-01-27,65
2019-02-03,64
2019-02-10,68
2019-02-17,68
2019-02-24,70
2019-03-03,64
2019-03-10,62
2019-03-17,61
2019-03-24,66
2019-03-31,66
2019-04-07,67
2019-04-14,67
2019-04-21,70
2019-04-28,78
2019-05-05,64
2019-05-12,65
2019-05-19,66
2019-05-26,60
2019-06-02,63
2019-06-09,72
2019-06-16,76
2019-06-23,72
2019-06-30,69
2019-07-07,63
2019-07-14,67
2019-07-21,65
2019-07-28,60
2019-08-04,65
2019-08-11,70
2019-08-18,66
2019-08-25,66
2019-09-01,60
2019-09-08,58
2019-09-15,59
2019-09-22,57
2019-09-29,62
2019-10-06,67
2019-10-13,65
2019-10-20,63
2019-10-27,56
2019-11-03,65
2019-11-10,56
2019-11-17,61
2019-11-24,56
2019-12-01,59
2019-12-08,62
2019-12-15,66
2019-12-22,78
2019-12-29,75
2020-01-05,52
2020-01-12,54
2020-01-19,60
2020-01-26,56
2020-02-02,61
2020-02-09,58
2020-02-16,54
2020-02-23,52
2020-03-01,59
2020-03-08,51
