date,Cooking_DE
2018-01-07,68
2018-01-14,58
2018-01-21,60
2018-01-28,58
2018-02-04,60
2018-02-11,59
2018-02-18,62
2018-02-25,61
2018-03-04,59
2018-03-11,59
2018-03-18,57
2018-03-25,78
2018-04-01,54
2018-04-08,55
2018-04-15,57
2018-04-22,67
2018-04-29,77
2018-05-06,70
2018-05-13,64
2018-05-20,66
2018-05-27,54
2018-06-03,55
2018-06-10,53
2018-06-17,53
2018-06-24,51
2018-07-01,48
2018-07-08,51
2018-07-15,54
2018-07-22,51
2018-07-29,47
2018-08-05,50
2018-08-12,51
2018-08-19,53
2018-08-26,60
2018-09-02,59
2018-09-09,54
2018-09-16,59
2018-09-23,61
2018-09-30,64
2018-10-07,60
2018-10-14,62
2018-10-21,63
2018-10-28,59
2018-11-04,63
2018-11-11,62
2018-11-18,66
2018-11-25,59
2018-12-02,57
2018-12-09,62
2018-12-16,61
2018-12-23,75
2018-12-30,70
2019-01-06,64
2019-01-13,64
2019-01-20,65
2019-01-27,60
2019-02-03,61
2019-02-10,62
2019-02-17,58
2019-02-24,56
2019-03-03,60
2019-03-10,63
2019-03-17,60
2019-03-24,61
2019-03-31,59
2019-04-07,74
2019-04-14,93
2019-04-21,76
2019-04-28,81
2019-05-05,75
2019-05-12,67
2019-05-19,66
2019-05-26,64
2019-06-02,59
2019-06-09,54
2019-06-16,56
2019-06-23,51
2019-06-30,46
2019-07-07,54
2019-07-14,51
2019-07-21,55
2019-07-28,56
2019-08-04,58
2019-08-11,60
2019-08-18,56
2019-08-25,55
2019-09-01,60
2019-09-08,61
2019-09-15,65
2019-09-22,66
2019-09-29,68
2019-10-06,73
2019-10-13,66
2019-10-20,66
2019-10-27,74
2019-11-03,68
2019-11-10,72
2019-11-17,73
2019-11-24,59
2019-12-01,67
2019-12-08,66
2019-12-15,67
2019-12-22,100
2019-12-29,82
2020-01-05,77
2020-01-12,70
2020-01-19,72
2020-01-26,67
2020-02-02,69
2020-02-09,67
2020-02-16,68
2020-02-23,66
2020-03-01,67
2020-03-08,64
