date,Game_PT
2018-01-07,44
2018-01-14,47
2018-01-21,44
2018-01-28,46
2018-02-04,47
2018-02-11,46
2018-02-18,47
2018-02-25,45
2018-03-04,39
2018-03-11,45
2018-03-18,39
2018-03-25,44
2018-04-01,44
2018-04-08,42
2018-04-15,47
2018-04-22,42
2018-04-29,44
2018-05-06,36
2018-05-13,36
2018-05-20,36
2018-05-27,42
2018-06-03,47
2018-06-10,70
2018-06-17,100
2018-06-24,90
2018-07-01,72
2018-07-08,48
2018-07-15,43
2018-07-22,40
2018-07-29,41
2018-08-05,40
2018-08-12,42
2018-08-19,47
2018-08-26,42
2018-09-02,38
2018-09-09,35
2018-09-16,40
2018-09-23,38
2018-09-30,37
2018-10-07,36
2018-10-14,36
2018-10-21,36
2018-10-28,39
2018-11-04,41
2018-11-11,36
2018-11-18,37
2018-11-25,36
2018-12-02,37
2018-12-09,41
2018-12-16,42
2018-12-23,46
2018-12-30,43
2019-01-06,39
2019-01-13,39
2019-01-20,42
2019-01-27,37
2019-02-03,41
2019-02-10,41
2019-02-17,40
2019-02-24,37
2019-03-03,43
2019-03-10,40
2019-03-17,41
2019-03-24,35
2019-03-31,40
2019-04-07,41
2019-04-14,42
2019-04-21,36
2019-04-28,41
2019-05-05,37
2019-05-12,48
2019-05-19,34
2019-05-26,31
2019-06-02,37
2019-06-09,39
2019-06-16,31
2019-06-23,34
2019-06-30,34
2019-07-07,35
2019-07-14,35
2019-07-21,34
2019-07-28,34
2019-08-04,39
2019-08-11,36
2019-08-18,38
2019-08-25,38
2019-09-01,38
2019-09-08,36
2019-09-15,40
2019-09-22,41
2019-09-29,39
2019-10-06,34
2019-10-13,35
2019-10-20,37
2019-10-27,41
2019-11-03,36
2019-11-10,36
2019-11-17,40
2019-11-24,38
2019-12-01,38
2019-12-08,39
2019-12-15,45
2019-12-22,38
2019-12-29,38
2020-01-05,38
2020-01-12,42
2020-01-19,38
2020-01-26,43
2020-02-02,41
2020-02-09,38
2020-02-16,42
2020-02-23,45
2020-03-01,40
2020-03-08,34
