date,Arts_KR
2018-01-07,66
2018-01-14,68
2018-01-21,65
2018-01-28,59
2018-02-04,72
2018-02-11,58
2018-02-18,63
2018-02-25,69
2018-03-04,62
2018-03-11,81
2018-03-18,74
2018-03-25,81
2018-04-01,89
2018-04-08,81
2018-04-15,89
2018-04-22,84
2018-04-29,100
2018-05-06,72
2018-05-13,74
2018-05-20,73
2018-05-27,92
2018-06-03,68
2018-06-10,93
2018-06-17,91
2018-06-24,76
2018-07-01,61
2018-07-08,64
2018-07-15,57
2018-07-22,61
2018-07-29,55
2018-08-05,66
2018-08-12,53
2018-08-19,67
2018-08-26,69
2018-09-02,74
2018-09-09,68
2018-09-16,71
2018-09-23,68
2018-09-30,74
2018-10-07,83
2018-10-14,84
2018-10-21,78
2018-10-28,65
2018-11-04,63
2018-11-11,72
2018-11-18,79
2018-11-25,68
2018-12-02,67
2018-12-09,67
2018-12-16,65
2018-12-23,64
2018-12-30,69
2019-01-06,63
2019-01-13,64
2019-01-20,62
2019-01-27,42
2019-02-03,31
2019-02-10,42
2019-02-17,36
2019-02-24,36
2019-03-03,47
2019-03-10,62
2019-03-17,57
2019-03-24,42
2019-03-31,79
2019-04-07,82
2019-04-14,78
2019-04-21,75
2019-04-28,74
2019-05-05,88
2019-05-12,82
2019-05-19,84
2019-05-26,77
2019-06-02,80
2019-06-09,89
2019-06-16,90
2019-06-23,66
2019-06-30,80
2019-07-07,75
2019-07-14,66
2019-07-21,66
2019-07-28,60
2019-08-04,58
2019-08-11,64
2019-08-18,68
2019-08-25,68
2019-09-01,69
2019-09-08,75
2019-09-15,65
2019-09-22,78
2019-09-29,71
2019-10-06,80
2019-10-13,77
2019-10-20,75
2019-10-27,89
2019-11-03,70
2019-11-10,72
2019-11-17,68
2019-11-24,85
2019-12-01,78
2019-12-08,76
2019-12-15,81
2019-12-22,63
2019-12-29,61
2020-01-05,68
2020-01-12,60
2020-01-19,55
2020-01-26,54
2020-02-02,65
2020-02-09,59
2020-02-16,57
2020-02-23,50
2020-03-01,60
2020-03-08,61
