date,Cooking_AR
2018-01-07,57
2018-01-14,55
2018-01-21,63
2018-01-28,56
2018-02-04,55
2018-02-11,58
2018-02-18,60
2018-02-25,59
2018-03-04,57
2018-03-11,54
2018-03-18,63
2018-03-25,77
2018-04-01,59
2018-04-08,57
2018-04-15,60
2018-04-22,71
2018-04-29,54
2018-05-06,59
2018-05-13,58
2018-05-20,68
2018-05-27,55
2018-06-03,63
2018-06-10,58
2018-06-17,55
2018-06-24,53
2018-07-01,62
2018-07-08,59
2018-07-15,70
2018-07-22,64
2018-07-29,69
2018-08-05,61
2018-08-12,62
2018-08-19,60
2018-08-26,62
2018-09-02,53
2018-09-09,66
2018-09-16,60
2018-09-23,62
2018-09-30,69
2018-10-07,66
2018-10-14,65
2018-10-21,71
2018-10-28,65
2018-11-04,58
2018-11-11,66
2018-11-18,54
2018-11-25,66
2018-12-02,57
2018-12-09,56
2018-12-16,66
2018-12-23,100
2018-12-30,72
2019-01-06,59
2019-01-13,67
2019-01-20,69
2019-01-27,59
2019-02-03,67
2019-02-10,62
2019-02-17,67
2019-02-24,65
2019-03-03,57
2019-03-10,63
2019-03-17,63
2019-03-24,63
2019-03-31,65
2019-04-07,68
2019-04-14,79
2019-04-21,60
2019-04-28,74
2019-05-05,64
2019-05-12,69
2019-05-19,77
2019-05-26,70
2019-06-02,71
2019-06-09,71
2019-06-16,68
2019-06-23,65
2019-06-30,63
2019-07-07,69
2019-07-14,70
2019-07-21,75
2019-07-28,67
2019-08-04,66
2019-08-11,54
2019-08-18,80
2019-08-25,59
2019-09-01,61
2019-09-08,75
2019-09-15,60
2019-09-22,65
2019-09-29,68
2019-10-06,68
2019-10-13,56
2019-10-20,65
2019-10-27,55
2019-11-03,57
2019-11-10,65
2019-11-17,67
2019-11-24,61
2019-12-01,73
2019-12-08,57
2019-12-15,56
2019-12-22,91
2019-12-29,88
2020-01-05,61
2020-01-12,80
2020-01-19,60
2020-01-26,74
2020-02-02,66
2020-02-09,69
2020-02-16,71
2020-02-23,75
2020-03-01,58
2020-03-08,58
