date,Performing_Art_JP
2018-01-07,7
2018-01-14,35
2018-01-21,35
2018-01-28,35
2018-02-04,21
2018-02-11,42
2018-02-18,14
2018-02-25,48
2018-03-04,21
2018-03-11,48
2018-03-18,28
2018-03-25,34
2018-04-01,14
2018-04-08,77
2018-04-15,49
2018-04-22,34
2018-04-29,14
2018-05-06,35
2018-05-13,34
2018-05-20,28
2018-05-27,41
2018-06-03,62
2018-06-10,52
2018-06-17,27
2018-06-24,41
2018-07-01,19
2018-07-08,27
2018-07-15,41
2018-07-22,7
2018-07-29,59
2018-08-05,39
2018-08-12,52
2018-08-19,13
2018-08-26,40
2018-09-02,39
2018-09-09,47
2018-09-16,34
2018-09-23,48
2018-09-30,33
2018-10-07,34
2018-10-14,21
2018-10-21,35
2018-10-28,64
2018-11-04,47
2018-11-11,35
2018-11-18,28
2018-11-25,28
2018-12-02,27
2018-12-09,28
2018-12-16,34
2018-12-23,21
2018-12-30,35
2019-01-06,27
2019-01-13,33
2019-01-20,26
2019-01-27,46
2019-02-03,19
2019-02-10,13
2019-02-17,7
2019-02-24,13
2019-03-03,26
2019-03-10,26
2019-03-17,26
2019-03-24,26
2019-03-31,20
2019-04-07,32
2019-04-14,53
2019-04-21,51
2019-04-28,13
2019-05-05,60
2019-05-12,52
2019-05-19,25
2019-05-26,19
2019-06-02,55
2019-06-09,37
2019-06-16,55
2019-06-23,43
2019-06-30,61
2019-07-07,37
2019-07-14,49
2019-07-21,56
2019-07-28,57
2019-08-04,44
2019-08-11,42
2019-08-18,38
2019-08-25,68
2019-09-01,31
2019-09-08,67
2019-09-15,49
2019-09-22,19
2019-09-29,67
2019-10-06,46
2019-10-13,68
2019-10-20,37
2019-10-27,63
2019-11-03,13
2019-11-10,43
2019-11-17,31
2019-11-24,62
2019-12-01,44
2019-12-08,31
2019-12-15,48
2019-12-22,30
2019-12-29,18
2020-01-05,24
2020-01-12,34
2020-01-19,100
2020-01-26,58
2020-02-02,35
2020-02-09,47
2020-02-16,35
2020-02-23,40
2020-03-01,40
2020-03-08,44
