date,Crafts_AT
2018-01-07,76
2018-01-14,37
2018-01-21,53
2018-01-28,56
2018-02-04,50
2018-02-11,38
2018-02-18,63
2018-02-25,45
2018-03-04,86
2018-03-11,49
2018-03-18,45
2018-03-25,68
2018-04-01,62
2018-04-08,36
2018-04-15,60
2018-04-22,32
2018-04-29,20
2018-05-06,50
2018-05-13,58
2018-05-20,24
2018-05-27,61
2018-06-03,47
2018-06-10,67
2018-06-17,46
2018-06-24,53
2018-07-01,67
2018-07-08,39
2018-07-15,41
2018-07-22,36
2018-07-29,54
2018-08-05,44
2018-08-12,58
2018-08-19,48
2018-08-26,51
2018-09-02,94
2018-09-09,59
2018-09-16,75
2018-09-23,51
2018-09-30,47
2018-10-07,83
2018-10-14,68
2018-10-21,20
2018-10-28,63
2018-11-04,61
2018-11-11,71
2018-11-18,45
2018-11-25,57
2018-12-02,65
2018-12-09,57
2018-12-16,51
2018-12-23,70
2018-12-30,54
2019-01-06,53
2019-01-13,57
2019-01-20,81
2019-01-27,67
2019-02-03,80
2019-02-10,54
2019-02-17,50
2019-02-24,36
2019-03-03,97
2019-03-10,66
2019-03-17,48
2019-03-24,78
2019-03-31,75
2019-04-07,77
2019-04-14,44
2019-04-21,39
2019-04-28,40
2019-05-05,65
2019-05-12,54
2019-05-19,47
2019-05-26,50
2019-06-02,45
2019-06-09,51
2019-06-16,22
2019-06-23,68
2019-06-30,68
2019-07-07,59
2019-07-14,47
2019-07-21,80
2019-07-28,39
2019-08-04,32
2019-08-11,58
2019-08-18,44
2019-08-25,86
2019-09-01,61
2019-09-08,41
2019-09-15,41
2019-09-22,46
2019-09-29,45
2019-10-06,67
2019-10-13,61
2019-10-20,39
2019-10-27,53
2019-11-03,48
2019-11-10,48
2019-11-17,82
2019-11-24,61
2019-12-01,49
2019-12-08,62
2019-12-15,60
2019-12-22,66
2019-12-29,61
2020-01-05,66
2020-01-12,100
2020-01-19,58
2020-01-26,63
2020-02-02,54
2020-02-09,74
2020-02-16,45
2020-02-23,51
2020-03-01,54
2020-03-08,71
