date,Performing_Art_AR
2018-01-07,0
2018-01-14,11
2018-01-21,21
2018-01-28,21
2018-02-04,10
2018-02-11,33
2018-02-18,10
2018-02-25,49
2018-03-04,29
2018-03-11,48
2018-03-18,29
2018-03-25,42
2018-04-01,19
2018-04-08,38
2018-04-15,19
2018-04-22,28
2018-04-29,19
2018-05-06,46
2018-05-13,19
2018-05-20,32
2018-05-27,29
2018-06-03,30
2018-06-10,0
2018-06-17,29
2018-06-24,9
2018-07-01,27
2018-07-08,39
2018-07-15,29
2018-07-22,39
2018-07-29,37
2018-08-05,9
2018-08-12,37
2018-08-19,49
2018-08-26,36
2018-09-02,19
2018-09-09,9
2018-09-16,56
2018-09-23,0
2018-09-30,10
2018-10-07,29
2018-10-14,20
2018-10-21,29
2018-10-28,55
2018-11-04,9
2018-11-11,47
2018-11-18,100
2018-11-25,0
2018-12-02,50
2018-12-09,30
2018-12-16,50
2018-12-23,36
2018-12-30,11
2019-01-06,20
2019-01-13,40
2019-01-20,10
2019-01-27,10
2019-02-03,10
2019-02-10,29
2019-02-17,0
2019-02-24,19
2019-03-03,10
2019-03-10,19
2019-03-17,29
2019-03-24,58
2019-03-31,39
2019-04-07,58
2019-04-14,0
2019-04-21,19
2019-04-28,38
2019-05-05,36
2019-05-12,28
2019-05-19,19
2019-05-26,27
2019-06-02,27
2019-06-09,26
2019-06-16,0
2019-06-23,35
2019-06-30,9
2019-07-07,29
2019-07-14,10
2019-07-21,48
2019-07-28,19
2019-08-04,36
2019-08-11,17
2019-08-18,46
2019-08-25,43
2019-09-01,18
2019-09-08,45
2019-09-15,18
2019-09-22,73
2019-09-29,51
2019-10-06,52
2019-10-13,26
2019-10-20,25
2019-10-27,31
2019-11-03,41
2019-11-10,50
2019-11-17,61
2019-11-24,26
2019-12-01,44
2019-12-08,18
2019-12-15,53
2019-12-22,0
2019-12-29,39
2020-01-05,18
2020-01-12,25
2020-01-19,35
2020-01-26,26
2020-02-02,0
2020-02-09,8
2020-02-16,40
2020-02-23,24
2020-03-01,54
2020-03-08,36
