date,Collecting_SE
2018-01-07,68
2018-01-14,34
2018-01-21,44
2018-01-28,44
2018-02-04,33
2018-02-11,23
2018-02-18,46
2018-02-25,68
2018-03-04,22
2018-03-11,67
2018-03-18,45
2018-03-25,23
2018-04-01,81
2018-04-08,57
2018-04-15,56
2018-04-22,66
2018-04-29,45
2018-05-06,35
2018-05-13,35
2018-05-20,58
2018-05-27,23
2018-06-03,24
2018-06-10,23
2018-06-17,70
2018-06-24,47
2018-07-01,24
2018-07-08,48
2018-07-15,89
2018-07-22,12
2018-07-29,71
2018-08-05,90
2018-08-12,34
2018-08-19,45
2018-08-26,22
2018-09-02,22
2018-09-09,53
2018-09-16,44
2018-09-23,22
2018-09-30,56
2018-10-07,57
2018-10-14,11
2018-10-21,57
2018-10-28,46
2018-11-04,34
2018-11-11,34
2018-11-18,11
2018-11-25,55
2018-12-02,34
2018-12-09,34
2018-12-16,47
2018-12-23,51
2018-12-30,49
2019-01-06,45
2019-01-13,100
2019-01-20,44
2019-01-27,44
2019-02-03,33
2019-02-10,89
2019-02-17,45
2019-02-24,68
2019-03-03,55
2019-03-10,78
2019-03-17,78
2019-03-24,11
2019-03-31,90
2019-04-07,67
2019-04-14,49
2019-04-21,35
2019-04-28,44
2019-05-05,44
2019-05-12,44
2019-05-19,11
2019-05-26,33
2019-06-02,23
2019-06-09,57
2019-06-16,48
2019-06-23,47
2019-06-30,23
2019-07-07,71
2019-07-14,36
2019-07-21,37
2019-07-28,24
2019-08-04,79
2019-08-11,64
2019-08-18,44
2019-08-25,22
2019-09-01,21
2019-09-08,42
2019-09-15,32
2019-09-22,95
2019-09-29,10
2019-10-06,10
2019-10-13,30
2019-10-20,51
2019-10-27,43
2019-11-03,62
2019-11-10,31
2019-11-17,41
2019-11-24,50
2019-12-01,72
2019-12-08,82
2019-12-15,74
2019-12-22,46
2019-12-29,22
2020-01-05,31
2020-01-12,97
2020-01-19,40
2020-01-26,40
2020-02-02,40
2020-02-09,20
2020-02-16,70
2020-02-23,20
2020-03-01,39
2020-03-08,66
