date,Game_CN
2018-01-07,58
2018-01-14,81
2018-01-21,82
2018-01-28,64
2018-02-04,80
2018-02-11,69
2018-02-18,100
2018-02-25,81
2018-03-04,66
2018-03-11,59
2018-03-18,80
2018-03-25,75
2018-04-01,55
2018-04-08,75
2018-04-15,61
2018-04-22,66
2018-04-29,83
2018-05-06,72
2018-05-13,87
2018-05-20,81
2018-05-27,70
2018-06-03,61
2018-06-10,79
2018-06-17,90
2018-06-24,97
2018-07-01,82
2018-07-08,75
2018-07-15,81
2018-07-22,70
2018-07-29,70
2018-08-05,62
2018-08-12,76
2018-08-19,83
2018-08-26,89
2018-09-02,69
2018-09-09,77
2018-09-16,67
2018-09-23,84
2018-09-30,75
2018-10-07,83
2018-10-14,67
2018-10-21,72
2018-10-28,80
2018-11-04,75
2018-11-11,65
2018-11-18,74
2018-11-25,64
2018-12-02,47
2018-12-09,70
2018-12-16,74
2018-12-23,68
2018-12-30,90
2019-01-06,70
2019-01-13,88
2019-01-20,62
2019-01-27,31
2019-02-03,57
2019-02-10,43
2019-02-17,45
2019-02-24,46
2019-03-03,40
2019-03-10,51
2019-03-17,48
2019-03-24,38
2019-03-31,65
2019-04-07,72
2019-04-14,62
2019-04-21,58
2019-04-28,63
2019-05-05,77
2019-05-12,85
2019-05-19,58
2019-05-26,79
2019-06-02,76
2019-06-09,58
2019-06-16,62
2019-06-23,71
2019-06-30,47
2019-07-07,55
2019-07-14,61
2019-07-21,59
2019-07-28,47
2019-08-04,65
2019-08-11,66
2019-08-18,78
2019-08-25,72
2019-09-01,71
2019-09-08,64
2019-09-15,51
2019-09-22,72
2019-09-29,65
2019-10-06,77
2019-10-13,61
2019-10-20,69
2019-10-27,75
2019-11-03,72
2019-11-10,70
2019-11-17,61
2019-11-24,77
2019-12-01,75
2019-12-08,59
2019-12-15,75
2019-12-22,68
2019-12-29,58
2020-01-05,76
2020-01-12,84
2020-01-19,80
2020-01-26,95
2020-02-02,79
2020-02-09,90
2020-02-16,71
2020-02-23,80
2020-03-01,91
2020-03-08,79
