date,Crafts_EG
2018-01-07,41
2018-01-14,70
2018-01-21,55
2018-01-28,69
2018-02-04,77
2018-02-11,74
2018-02-18,39
2018-02-25,57
2018-03-04,79
2018-03-11,44
2018-03-18,53
2018-03-25,39
2018-04-01,59
2018-04-08,43
2018-04-15,40
2018-04-22,31
2018-04-29,40
2018-05-06,40
2018-05-13,62
2018-05-20,48
2018-05-27,58
2018-06-03,38
2018-06-10,38
2018-06-17,19
2018-06-24,32
2018-07-01,49
2018-07-08,31
2018-07-15,32
2018-07-22,32
2018-07-29,56
2018-08-05,70
2018-08-12,55
2018-08-19,35
2018-08-26,67
2018-09-02,56
2018-09-09,49
2018-09-16,62
2018-09-23,55
2018-09-30,63
2018-10-07,94
2018-10-14,100
2018-10-21,42
2018-10-28,60
2018-11-04,86
2018-11-11,85
2018-11-18,30
2018-11-25,65
2018-12-02,86
2018-12-09,71
2018-12-16,40
2018-12-23,68
2018-12-30,30
2019-01-06,62
2019-01-13,56
2019-01-20,43
2019-01-27,62
2019-02-03,49
2019-02-10,58
2019-02-17,48
2019-02-24,81
2019-03-03,53
2019-03-10,84
2019-03-17,60
2019-03-24,52
2019-03-31,53
2019-04-07,37
2019-04-14,51
2019-04-21,29
2019-04-28,38
2019-05-05,53
2019-05-12,21
2019-05-19,58
2019-05-26,42
2019-06-02,60
2019-06-09,50
2019-06-16,92
2019-06-23,45
2019-06-30,33
2019-07-07,69
2019-07-14,54
2019-07-21,49
2019-07-28,58
2019-08-04,60
2019-08-11,62
2019-08-18,50
2019-08-25,59
2019-09-01,46
2019-09-08,60
2019-09-15,58
2019-09-22,88
2019-09-29,100
2019-10-06,74
2019-10-13,59
2019-10-20,60
2019-10-27,88
2019-11-03,73
2019-11-10,75
2019-11-17,84
2019-11-24,71
2019-12-01,89
2019-12-08,48
2019-12-15,25
2019-12-22,64
2019-12-29,57
2020-01-05,56
2020-01-12,48
2020-01-19,55
2020-01-26,40
2020-02-02,43
2020-02-09,51
2020-02-16,71
2020-02-23,73
2020-03-01,56
2020-03-08,33
