date,Crafts_MY
2018-01-07,80
2018-01-14,70
2018-01-21,65
2018-01-28,82
2018-02-04,100
2018-02-11,61
2018-02-18,61
2018-02-25,73
2018-03-04,76
2018-03-11,84
2018-03-18,42
2018-03-25,50
2018-04-01,76
2018-04-08,51
2018-04-15,75
2018-04-22,85
2018-04-29,54
2018-05-06,49
2018-05-13,74
2018-05-20,78
2018-05-27,73
2018-06-03,64
2018-06-10,62
2018-06-17,32
2018-06-24,58
2018-07-01,53
2018-07-08,54
2018-07-15,69
2018-07-22,82
2018-07-29,81
2018-08-05,61
2018-08-12,76
2018-08-19,56
2018-08-26,63
2018-09-02,75
2018-09-09,61
2018-09-16,60
2018-09-23,83
2018-09-30,72
2018-10-07,81
2018-10-14,69
2018-10-21,64
2018-10-28,72
2018-11-04,72
2018-11-11,66
2018-11-18,72
2018-11-25,68
2018-12-02,60
2018-12-09,71
2018-12-16,67
2018-12-23,71
2018-12-30,60
2019-01-06,79
2019-01-13,66
2019-01-20,54
2019-01-27,74
2019-02-03,60
2019-02-10,70
2019-02-17,81
2019-02-24,70
2019-03-03,67
2019-03-10,75
2019-03-17,74
2019-03-24,59
2019-03-31,58
2019-04-07,66
2019-04-14,59
2019-04-21,82
2019-04-28,67
2019-05-05,74
2019-05-12,75
2019-05-19,49
2019-05-26,63
2019-06-02,52
2019-06-09,61
2019-06-16,79
2019-06-23,78
2019-06-30,49
2019-07-07,73
2019-07-14,56
2019-07-21,76
2019-07-28,76
2019-08-04,66
2019-08-11,65
2019-08-18,69
2019-08-25,45
2019-09-01,63
2019-09-08,69
2019-09-15,56
2019-09-22,72
2019-09-29,65
2019-10-06,53
2019-10-13,83
2019-10-20,58
2019-10-27,47
2019-11-03,66
2019-11-10,51
2019-11-17,55
2019-11-24,61
2019-12-01,62
2019-12-08,40
2019-12-15,57
2019-12-22,38
2019-12-29,45
2020-01-05,73
2020-01-12,77
2020-01-19,59
2020-01-26,53
2020-02-02,71
2020-02-09,66
2020-02-16,70
2020-02-23,66
2020-03-01,58
2020-03-08,57
