date,Music_SG
2018-01-07,22
2018-01-14,20
2018-01-21,20
2018-01-28,18
2018-02-04,18
2018-02-11,20
2018-02-18,21
2018-02-25,19
2018-03-04,19
2018-03-11,20
2018-03-18,19
2018-03-25,19
2018-04-01,21
2018-04-08,20
2018-04-15,21
2018-04-22,22
2018-04-29,23
2018-05-06,22
2018-05-13,20
2018-05-20,22
2018-05-27,21
2018-06-03,23
2018-06-10,21
2018-06-17,19
2018-06-24,17
2018-07-01,18
2018-07-08,19
2018-07-15,21
2018-07-22,19
2018-07-29,23
2018-08-05,20
2018-08-12,19
2018-08-19,21
2018-08-26,23
2018-09-02,23
2018-09-09,19
2018-09-16,23
2018-09-23,20
2018-09-30,21
2018-10-07,19
2018-10-14,19
2018-10-21,21
2018-10-28,18
2018-11-04,19
2018-11-11,19
2018-11-18,18
2018-11-25,18
2018-12-02,19
2018-12-09,15
2018-12-16,18
2018-12-23,21
2018-12-30,19
2019-01-06,18
2019-01-13,18
2019-01-20,19
2019-01-27,18
2019-02-03,21
2019-02-10,21
2019-02-17,19
2019-02-24,20
2019-03-03,21
2019-03-10,18
2019-03-17,21
2019-03-24,18
2019-03-31,20
2019-04-07,15
2019-04-14,21
2019-04-21,17
2019-04-28,21
2019-05-05,22
2019-05-12,21
2019-05-19,19
2019-05-26,18
2019-06-02,18
2019-06-09,17
2019-06-16,19
2019-06-23,21
2019-06-30,18
2019-07-07,19
2019-07-14,20
2019-07-21,21
2019-07-28,20
2019-08-04,20
2019-08-11,19
2019-08-18,23
2019-08-25,23
2019-09-01,21
2019-09-08,20
2019-09-15,20
2019-09-22,19
2019-09-29,18
2019-10-06,20
2019-10-13,20
2019-10-20,19
2019-10-27,20
2019-11-03,27
2019-11-10,87
2019-11-17,94
2019-11-24,91
2019-12-01,51
2019-12-08,84
2019-12-15,100
2019-12-22,99
2019-12-29,77
2020-01-05,68
2020-01-12,65
2020-01-19,41
2020-01-26,33
2020-02-02,39
2020-02-09,44
2020-02-16,55
2020-02-23,33
2020-03-01,36
2020-03-08,34
