date,Pets_CH
2018-01-07,77
2018-01-14,34
2018-01-21,42
2018-01-28,51
2018-02-04,57
2018-02-11,47
2018-02-18,46
2018-02-25,53
2018-03-04,56
2018-03-11,50
2018-03-18,64
2018-03-25,28
2018-04-01,51
2018-04-08,57
2018-04-15,28
2018-04-22,37
2018-04-29,47
2018-05-06,83
2018-05-13,57
2018-05-20,62
2018-05-27,44
2018-06-03,33
2018-06-10,53
2018-06-17,33
2018-06-24,44
2018-07-01,38
2018-07-08,50
2018-07-15,43
2018-07-22,70
2018-07-29,49
2018-08-05,26
2018-08-12,59
2018-08-19,30
2018-08-26,57
2018-09-02,47
2018-09-09,36
2018-09-16,55
2018-09-23,41
2018-09-30,45
2018-10-07,41
2018-10-14,46
2018-10-21,47
2018-10-28,40
2018-11-04,39
2018-11-11,62
2018-11-18,37
2018-11-25,62
2018-12-02,49
2018-12-09,27
2018-12-16,47
2018-12-23,65
2018-12-30,36
2019-01-06,44
2019-01-13,37
2019-01-20,70
2019-01-27,92
2019-02-03,100
2019-02-10,72
2019-02-17,91
2019-02-24,81
2019-03-03,69
2019-03-10,64
2019-03-17,82
2019-03-24,80
2019-03-31,81
2019-04-07,66
2019-04-14,55
2019-04-21,44
2019-04-28,51
2019-05-05,58
2019-05-12,65
2019-05-19,49
2019-05-26,39
2019-06-02,55
2019-06-09,47
2019-06-16,51
2019-06-23,47
2019-06-30,38
2019-07-07,66
2019-07-14,57
2019-07-21,74
2019-07-28,72
2019-08-04,66
2019-08-11,63
2019-08-18,58
2019-08-25,74
2019-09-01,57
2019-09-08,55
2019-09-15,49
2019-09-22,62
2019-09-29,52
2019-10-06,45
2019-10-13,75
2019-10-20,40
2019-10-27,42
2019-11-03,54
2019-11-10,72
2019-11-17,49
2019-11-24,60
2019-12-01,32
2019-12-08,74
2019-12-15,43
2019-12-22,66
2019-12-29,55
2020-01-05,53
2020-01-12,49
2020-01-19,53
2020-01-26,59
2020-02-02,62
2020-02-09,48
2020-02-16,62
2020-02-23,39
2020-03-01,74
2020-03-08,42
