date,Sports_TR
2018-01-07,62
2018-01-14,61
2018-01-21,66
2018-01-28,73
2018-02-04,66
2018-02-11,68
2018-02-18,70
2018-02-25,73
2018-03-04,73
2018-03-11,81
2018-03-18,73
2018-03-25,70
2018-04-01,76
2018-04-08,74
2018-04-15,77
2018-04-22,82
2018-04-29,71
2018-05-06,70
2018-05-13,65
2018-05-20,59
2018-05-27,62
2018-06-03,69
2018-06-10,67
2018-06-17,64
2018-06-24,59
2018-07-01,65
2018-07-08,66
2018-07-15,69
2018-07-22,67
2018-07-29,66
2018-08-05,67
2018-08-12,72
2018-08-19,75
2018-08-26,91
2018-09-02,64
2018-09-09,60
2018-09-16,71
2018-09-23,64
2018-09-30,79
2018-10-07,59
2018-10-14,59
2018-10-21,74
2018-10-28,67
2018-11-04,71
2018-11-11,55
2018-11-18,56
2018-11-25,64
2018-12-02,60
2018-12-09,69
2018-12-16,63
2018-12-23,57
2018-12-30,62
2019-01-06,65
2019-01-13,71
2019-01-20,80
2019-01-27,93
2019-02-03,78
2019-02-10,83
2019-02-17,77
2019-02-24,85
2019-03-03,75
2019-03-10,82
2019-03-17,71
2019-03-24,66
2019-03-31,58
2019-04-07,72
2019-04-14,72
2019-04-21,70
2019-04-28,74
2019-05-05,67
2019-05-12,71
2019-05-19,75
2019-05-26,72
2019-06-02,69
2019-06-09,69
2019-06-16,71
2019-06-23,67
2019-06-30,75
2019-07-07,77
2019-07-14,75
2019-07-21,84
2019-07-28,100
2019-08-04,82
2019-08-11,90
2019-08-18,85
2019-08-25,97
2019-09-01,87
2019-09-08,72
2019-09-15,85
2019-09-22,77
2019-09-29,90
2019-10-06,76
2019-10-13,71
2019-10-20,86
2019-10-27,82
2019-11-03,84
2019-11-10,71
2019-11-17,69
2019-11-24,78
2019-12-01,77
2019-12-08,74
2019-12-15,72
2019-12-22,65
2019-12-29,62
2020-01-05,62
2020-01-12,70
2020-01-19,73
2020-01-26,81
2020-02-02,76
2020-02-09,78
2020-02-16,84
2020-02-23,91
2020-03-01,86
2020-03-08,85
