date,Collecting_PE
2018-01-07,66
2018-01-14,68
2018-01-21,62
2018-01-28,47
2018-02-04,36
2018-02-11,33
2018-02-18,62
2018-02-25,39
2018-03-04,42
2018-03-11,37
2018-03-18,31
2018-03-25,63
2018-04-01,50
2018-04-08,49
2018-04-15,52
2018-04-22,45
2018-04-29,36
2018-05-06,47
2018-05-13,35
2018-05-20,56
2018-05-27,49
2018-06-03,40
2018-06-10,47
2018-06-17,55
2018-06-24,58
2018-07-01,57
2018-07-08,48
2018-07-15,72
2018-07-22,37
2018-07-29,95
2018-08-05,43
2018-08-12,51
2018-08-19,40
2018-08-26,46
2018-09-02,46
2018-09-09,49
2018-09-16,50
2018-09-23,34
2018-09-30,31
2018-10-07,38
2018-10-14,45
2018-10-21,42
2018-10-28,69
2018-11-04,57
2018-11-11,32
2018-11-18,45
2018-11-25,38
2018-12-02,57
2018-12-09,45
2018-12-16,60
2018-12-23,38
2018-12-30,43
2019-01-06,46
2019-01-13,64
2019-01-20,44
2019-01-27,52
2019-02-03,71
2019-02-10,59
2019-02-17,29
2019-02-24,44
2019-03-03,41
2019-03-10,65
2019-03-17,47
2019-03-24,29
2019-03-31,26
2019-04-07,45
2019-04-14,66
2019-04-21,61
2019-04-28,36
2019-05-05,39
2019-05-12,26
2019-05-19,50
2019-05-26,30
2019-06-02,27
2019-06-09,24
2019-06-16,38
2019-06-23,36
2019-06-30,49
2019-07-07,31
2019-07-14,54
2019-07-21,35
2019-07-28,30
2019-08-04,35
2019-08-11,32
2019-08-18,50
2019-08-25,26
2019-09-01,67
2019-09-08,48
2019-09-15,64
2019-09-22,55
2019-09-29,36
2019-10-06,67
2019-10-13,33
2019-10-20,45
2019-10-27,65
2019-11-03,49
2019-11-10,27
2019-11-17,60
2019-11-24,54
2019-12-01,65
2019-12-08,65
2019-12-15,100
2019-12-22,31
2019-12-29,34
2020-01-05,38
2020-01-12,43
2020-01-19,62
2020-01-26,48
2020-02-02,54
2020-02-09,52
2020-02-16,35
2020-02-23,45
2020-03-01,32
2020-03-08,37
