date,Performing_Art_PE
2018-01-07,33
2018-01-14,8
2018-01-21,17
2018-01-28,8
2018-02-04,33
2018-02-11,17
2018-02-18,33
2018-02-25,32
2018-03-04,8
2018-03-11,31
2018-03-18,21
2018-03-25,48
2018-04-01,57
2018-04-08,63
2018-04-15,49
2018-04-22,27
2018-04-29,37
2018-05-06,22
2018-05-13,22
2018-05-20,42
2018-05-27,28
2018-06-03,21
2018-06-10,13
2018-06-17,28
2018-06-24,28
2018-07-01,27
2018-07-08,14
2018-07-15,100
2018-07-22,46
2018-07-29,23
2018-08-05,23
2018-08-12,14
2018-08-19,7
2018-08-26,37
2018-09-02,28
2018-09-09,28
2018-09-16,7
2018-09-23,21
2018-09-30,29
2018-10-07,22
2018-10-14,29
2018-10-21,74
2018-10-28,23
2018-11-04,14
2018-11-11,51
2018-11-18,7
2018-11-25,44
2018-12-02,53
2018-12-09,31
2018-12-16,51
2018-12-23,0
2018-12-30,10
2019-01-06,17
2019-01-13,9
2019-01-20,25
2019-01-27,25
2019-02-03,26
2019-02-10,17
2019-02-17,17
2019-02-24,0
2019-03-03,25
2019-03-10,16
2019-03-17,23
2019-03-24,30
2019-03-31,37
2019-04-07,88
2019-04-14,71
2019-04-21,22
2019-04-28,67
2019-05-05,52
2019-05-12,37
2019-05-19,36
2019-05-26,21
2019-06-02,14
2019-06-09,14
2019-06-16,54
2019-06-23,14
2019-06-30,28
2019-07-07,49
2019-07-14,44
2019-07-21,63
2019-07-28,9
2019-08-04,8
2019-08-11,29
2019-08-18,28
2019-08-25,29
2019-09-01,35
2019-09-08,27
2019-09-15,34
2019-09-22,28
2019-09-29,14
2019-10-06,29
2019-10-13,21
2019-10-20,27
2019-10-27,67
2019-11-03,41
2019-11-10,27
2019-11-17,55
2019-11-24,20
2019-12-01,49
2019-12-08,51
2019-12-15,30
2019-12-22,0
2019-12-29,43
2020-01-05,8
2020-01-12,30
2020-01-19,7
2020-01-26,29
2020-02-02,23
2020-02-09,0
2020-02-16,22
2020-02-23,15
2020-03-01,50
2020-03-08,21
