date,Collecting_NO
2018-01-07,10
2018-01-14,20
2018-01-21,20
2018-01-28,10
2018-02-04,20
2018-02-11,21
2018-02-18,22
2018-02-25,21
2018-03-04,10
2018-03-11,10
2018-03-18,32
2018-03-25,13
2018-04-01,21
2018-04-08,21
2018-04-15,10
2018-04-22,20
2018-04-29,31
2018-05-06,22
2018-05-13,0
2018-05-20,0
2018-05-27,32
2018-06-03,21
2018-06-10,30
2018-06-17,31
2018-06-24,22
2018-07-01,0
2018-07-08,36
2018-07-15,0
2018-07-22,37
2018-07-29,11
2018-08-05,32
2018-08-12,21
2018-08-19,10
2018-08-26,21
2018-09-02,20
2018-09-09,20
2018-09-16,10
2018-09-23,21
2018-09-30,11
2018-10-07,11
2018-10-14,54
2018-10-21,32
2018-10-28,0
2018-11-04,21
2018-11-11,30
2018-11-18,20
2018-11-25,31
2018-12-02,20
2018-12-09,21
2018-12-16,23
2018-12-23,13
2018-12-30,0
2019-01-06,10
2019-01-13,21
2019-01-20,20
2019-01-27,10
2019-02-03,10
2019-02-10,51
2019-02-17,0
2019-02-24,10
2019-03-03,0
2019-03-10,10
2019-03-17,10
2019-03-24,10
2019-03-31,30
2019-04-07,22
2019-04-14,100
2019-04-21,0
2019-04-28,20
2019-05-05,40
2019-05-12,0
2019-05-19,40
2019-05-26,10
2019-06-02,9
2019-06-09,62
2019-06-16,21
2019-06-23,32
2019-06-30,11
2019-07-07,24
2019-07-14,48
2019-07-21,12
2019-07-28,23
2019-08-04,31
2019-08-11,20
2019-08-18,20
2019-08-25,58
2019-09-01,9
2019-09-08,28
2019-09-15,0
2019-09-22,10
2019-09-29,20
2019-10-06,40
2019-10-13,29
2019-10-20,19
2019-10-27,10
2019-11-03,0
2019-11-10,9
2019-11-17,19
2019-11-24,27
2019-12-01,9
2019-12-08,0
2019-12-15,19
2019-12-22,0
2019-12-29,49
2020-01-05,9
2020-01-12,9
2020-01-19,27
2020-01-26,54
2020-02-02,18
2020-02-09,36
2020-02-16,9
2020-02-23,18
2020-03-01,34
2020-03-08,8
