date,Sports_PH
2018-01-07,63
2018-01-14,73
2018-01-21,72
2018-01-28,81
2018-02-04,91
2018-02-11,78
2018-02-18,85
2018-02-25,84
2018-03-04,84
2018-03-11,82
2018-03-18,69
2018-03-25,60
2018-04-01,69
2018-04-08,67
2018-04-15,69
2018-04-22,69
2018-04-29,67
2018-05-06,54
2018-05-13,57
2018-05-20,57
2018-05-27,61
2018-06-03,67
2018-06-10,60
2018-06-17,64
2018-06-24,73
2018-07-01,80
2018-07-08,75
2018-07-15,61
2018-07-22,62
2018-07-29,73
2018-08-05,64
2018-08-12,64
2018-08-19,70
2018-08-26,77
2018-09-02,73
2018-09-09,70
2018-09-16,75
2018-09-23,76
2018-09-30,70
2018-10-07,77
2018-10-14,69
2018-10-21,68
2018-10-28,53
2018-11-04,67
2018-11-11,74
2018-11-18,76
2018-11-25,83
2018-12-02,75
2018-12-09,60
2018-12-16,44
2018-12-23,45
2018-12-30,48
2019-01-06,63
2019-01-13,69
2019-01-20,80
2019-01-27,72
2019-02-03,79
2019-02-10,67
2019-02-17,73
2019-02-24,77
2019-03-03,71
2019-03-10,77
2019-03-17,67
2019-03-24,63
2019-03-31,62
2019-04-07,62
2019-04-14,61
2019-04-21,59
2019-04-28,72
2019-05-05,69
2019-05-12,66
2019-05-19,57
2019-05-26,51
2019-06-02,61
2019-06-09,69
2019-06-16,69
2019-06-23,62
2019-06-30,74
2019-07-07,71
2019-07-14,73
2019-07-21,82
2019-07-28,75
2019-08-04,72
2019-08-11,77
2019-08-18,82
2019-08-25,73
2019-09-01,97
2019-09-08,88
2019-09-15,84
2019-09-22,81
2019-09-29,74
2019-10-06,79
2019-10-13,81
2019-10-20,89
2019-10-27,98
2019-11-03,96
2019-11-10,99
2019-11-17,91
2019-11-24,99
2019-12-01,100
2019-12-08,77
2019-12-15,75
2019-12-22,69
2019-12-29,69
2020-01-05,74
2020-01-12,73
2020-01-19,82
2020-01-26,82
2020-02-02,87
2020-02-09,79
2020-02-16,67
2020-02-23,77
2020-03-01,98
2020-03-08,63
