date,Crafts_CL
2018-01-07,31
2018-01-14,32
2018-01-21,9
2018-01-28,27
2018-02-04,42
2018-02-11,32
2018-02-18,27
2018-02-25,21
2018-03-04,42
2018-03-11,24
2018-03-18,32
2018-03-25,12
2018-04-01,54
2018-04-08,63
2018-04-15,67
2018-04-22,90
2018-04-29,70
2018-05-06,48
2018-05-13,48
2018-05-20,37
2018-05-27,30
2018-06-03,55
2018-06-10,55
2018-06-17,97
2018-06-24,70
2018-07-01,69
2018-07-08,20
2018-07-15,38
2018-07-22,73
2018-07-29,84
2018-08-05,72
2018-08-12,82
2018-08-19,100
2018-08-26,49
2018-09-02,58
2018-09-09,50
2018-09-16,44
2018-09-23,75
2018-09-30,46
2018-10-07,76
2018-10-14,49
2018-10-21,95
2018-10-28,34
2018-11-04,76
2018-11-11,63
2018-11-18,52
2018-11-25,60
2018-12-02,40
2018-12-09,25
2018-12-16,44
2018-12-23,43
2018-12-30,28
2019-01-06,34
2019-01-13,34
2019-01-20,33
2019-01-27,29
2019-02-03,17
2019-02-10,30
2019-02-17,34
2019-02-24,60
2019-03-03,42
2019-03-10,28
2019-03-17,47
2019-03-24,62
2019-03-31,43
2019-04-07,35
2019-04-14,37
2019-04-21,66
2019-04-28,44
2019-05-05,52
2019-05-12,74
2019-05-19,60
2019-05-26,50
2019-06-02,46
2019-06-09,46
2019-06-16,54
2019-06-23,53
2019-06-30,61
2019-07-07,34
2019-07-14,37
2019-07-21,68
2019-07-28,69
2019-08-04,87
2019-08-11,44
2019-08-18,97
2019-08-25,61
2019-09-01,50
2019-09-08,26
2019-09-15,48
2019-09-22,61
2019-09-29,76
2019-10-06,52
2019-10-13,51
2019-10-20,51
2019-10-27,35
2019-11-03,48
2019-11-10,45
2019-11-17,36
2019-11-24,40
2019-12-01,26
2019-12-08,34
2019-12-15,25
2019-12-22,41
2019-12-29,29
2020-01-05,18
2020-01-12,29
2020-01-19,52
2020-01-26,45
2020-02-02,30
2020-02-09,30
2020-02-16,37
2020-02-23,27
2020-03-01,44
2020-03-08,63
