date,Music_SE
2018-01-07,92
2018-01-14,89
2018-01-21,91
2018-01-28,93
2018-02-04,86
2018-02-11,85
2018-02-18,83
2018-02-25,82
2018-03-04,84
2018-03-11,91
2018-03-18,89
2018-03-25,83
2018-04-01,82
2018-04-08,74
2018-04-15,81
2018-04-22,82
2018-04-29,75
2018-05-06,80
2018-05-13,83
2018-05-20,87
2018-05-27,77
2018-06-03,79
2018-06-10,77
2018-06-17,77
2018-06-24,67
2018-07-01,75
2018-07-08,81
2018-07-15,79
2018-07-22,87
2018-07-29,83
2018-08-05,81
2018-08-12,92
2018-08-19,88
2018-08-26,81
2018-09-02,84
2018-09-09,86
2018-09-16,83
2018-09-23,82
2018-09-30,85
2018-10-07,85
2018-10-14,87
2018-10-21,87
2018-10-28,90
2018-11-04,86
2018-11-11,91
2018-11-18,83
2018-11-25,75
2018-12-02,96
2018-12-09,86
2018-12-16,74
2018-12-23,87
2018-12-30,88
2019-01-06,76
2019-01-13,79
2019-01-20,79
2019-01-27,86
2019-02-03,99
2019-02-10,91
2019-02-17,89
2019-02-24,89
2019-03-03,99
2019-03-10,85
2019-03-17,91
2019-03-24,83
2019-03-31,74
2019-04-07,80
2019-04-14,80
2019-04-21,76
2019-04-28,76
2019-05-05,79
2019-05-12,84
2019-05-19,81
2019-05-26,86
2019-06-02,85
2019-06-09,79
2019-06-16,82
2019-06-23,77
2019-06-30,80
2019-07-07,87
2019-07-14,80
2019-07-21,86
2019-07-28,92
2019-08-04,76
2019-08-11,82
2019-08-18,78
2019-08-25,77
2019-09-01,81
2019-09-08,78
2019-09-15,82
2019-09-22,78
2019-09-29,83
2019-10-06,92
2019-10-13,87
2019-10-20,89
2019-10-27,70
2019-11-03,84
2019-11-10,82
2019-11-17,84
2019-11-24,85
2019-12-01,100
2019-12-08,92
2019-12-15,90
2019-12-22,78
2019-12-29,88
2020-01-05,82
2020-01-12,86
2020-01-19,82
2020-01-26,93
2020-02-02,86
2020-02-09,88
2020-02-16,80
2020-02-23,79
2020-03-01,80
2020-03-08,78
