date,Learning_PT
2018-01-07,61
2018-01-14,42
2018-01-21,30
2018-01-28,72
2018-02-04,42
2018-02-11,46
2018-02-18,44
2018-02-25,37
2018-03-04,50
2018-03-11,39
2018-03-18,44
2018-03-25,34
2018-04-01,38
2018-04-08,54
2018-04-15,62
2018-04-22,43
2018-04-29,36
2018-05-06,39
2018-05-13,32
2018-05-20,47
2018-05-27,37
2018-06-03,43
2018-06-10,53
2018-06-17,39
2018-06-24,46
2018-07-01,46
2018-07-08,57
2018-07-15,33
2018-07-22,39
2018-07-29,29
2018-08-05,17
2018-08-12,48
2018-08-19,37
2018-08-26,39
2018-09-02,38
2018-09-09,59
2018-09-16,49
2018-09-23,36
2018-09-30,48
2018-10-07,45
2018-10-14,51
2018-10-21,54
2018-10-28,41
2018-11-04,55
2018-11-11,62
2018-11-18,66
2018-11-25,46
2018-12-02,52
2018-12-09,39
2018-12-16,40
2018-12-23,36
2018-12-30,49
2019-01-06,57
2019-01-13,60
2019-01-20,32
2019-01-27,56
2019-02-03,63
2019-02-10,51
2019-02-17,42
2019-02-24,49
2019-03-03,58
2019-03-10,55
2019-03-17,53
2019-03-24,100
2019-03-31,38
2019-04-07,43
2019-04-14,30
2019-04-21,57
2019-04-28,30
2019-05-05,40
2019-05-12,33
2019-05-19,42
2019-05-26,57
2019-06-02,48
2019-06-09,46
2019-06-16,54
2019-06-23,56
2019-06-30,38
2019-07-07,56
2019-07-14,50
2019-07-21,37
2019-07-28,35
2019-08-04,45
2019-08-11,30
2019-08-18,30
2019-08-25,30
2019-09-01,49
2019-09-08,53
2019-09-15,64
2019-09-22,59
2019-09-29,46
2019-10-06,51
2019-10-13,41
2019-10-20,60
2019-10-27,46
2019-11-03,55
2019-11-10,52
2019-11-17,46
2019-11-24,43
2019-12-01,66
2019-12-08,42
2019-12-15,49
2019-12-22,53
2019-12-29,56
2020-01-05,49
2020-01-12,77
2020-01-19,46
2020-01-26,47
2020-02-02,38
2020-02-09,34
2020-02-16,36
2020-02-23,47
2020-03-01,55
2020-03-08,47
