date,Sports_PT
2018-01-07,72
2018-01-14,68
2018-01-21,55
2018-01-28,66
2018-02-04,68
2018-02-11,65
2018-02-18,71
2018-02-25,67
2018-03-04,60
2018-03-11,66
2018-03-18,59
2018-03-25,55
2018-04-01,67
2018-04-08,61
2018-04-15,79
2018-04-22,61
2018-04-29,68
2018-05-06,68
2018-05-13,70
2018-05-20,72
2018-05-27,64
2018-06-03,65
2018-06-10,76
2018-06-17,77
2018-06-24,64
2018-07-01,72
2018-07-08,65
2018-07-15,71
2018-07-22,75
2018-07-29,65
2018-08-05,68
2018-08-12,84
2018-08-19,72
2018-08-26,76
2018-09-02,69
2018-09-09,73
2018-09-16,84
2018-09-23,67
2018-09-30,66
2018-10-07,66
2018-10-14,58
2018-10-21,71
2018-10-28,63
2018-11-04,73
2018-11-11,64
2018-11-18,62
2018-11-25,64
2018-12-02,65
2018-12-09,62
2018-12-16,64
2018-12-23,71
2018-12-30,83
2019-01-06,72
2019-01-13,69
2019-01-20,73
2019-01-27,75
2019-02-03,84
2019-02-10,92
2019-02-17,94
2019-02-24,86
2019-03-03,79
2019-03-10,100
2019-03-17,67
2019-03-24,81
2019-03-31,70
2019-04-07,66
2019-04-14,66
2019-04-21,62
2019-04-28,74
2019-05-05,72
2019-05-12,71
2019-05-19,65
2019-05-26,67
2019-06-02,73
2019-06-09,73
2019-06-16,65
2019-06-23,67
2019-06-30,74
2019-07-07,70
2019-07-14,70
2019-07-21,68
2019-07-28,71
2019-08-04,71
2019-08-11,77
2019-08-18,71
2019-08-25,72
2019-09-01,71
2019-09-08,67
2019-09-15,84
2019-09-22,79
2019-09-29,75
2019-10-06,68
2019-10-13,71
2019-10-20,75
2019-10-27,81
2019-11-03,74
2019-11-10,76
2019-11-17,79
2019-11-24,83
2019-12-01,93
2019-12-08,82
2019-12-15,79
2019-12-22,64
2019-12-29,62
2020-01-05,80
2020-01-12,87
2020-01-19,80
2020-01-26,79
2020-02-02,81
2020-02-09,76
2020-02-16,75
2020-02-23,87
2020-03-01,74
2020-03-08,60
