date,Pets_CN
2018-01-07,30
2018-01-14,31
2018-01-21,31
2018-01-28,55
2018-02-04,57
2018-02-11,35
2018-02-18,96
2018-02-25,92
2018-03-04,57
2018-03-11,46
2018-03-18,18
2018-03-25,9
2018-04-01,40
2018-04-08,56
2018-04-15,33
2018-04-22,47
2018-04-29,67
2018-05-06,32
2018-05-13,48
2018-05-20,48
2018-05-27,56
2018-06-03,32
2018-06-10,76
2018-06-17,60
2018-06-24,49
2018-07-01,32
2018-07-08,31
2018-07-15,57
2018-07-22,90
2018-07-29,81
2018-08-05,48
2018-08-12,38
2018-08-19,40
2018-08-26,23
2018-09-02,7
2018-09-09,35
2018-09-16,22
2018-09-23,37
2018-09-30,12
2018-10-07,51
2018-10-14,41
2018-10-21,56
2018-10-28,34
2018-11-04,27
2018-11-11,41
2018-11-18,50
2018-11-25,43
2018-12-02,14
2018-12-09,57
2018-12-16,35
2018-12-23,36
2018-12-30,52
2019-01-06,49
2019-01-13,33
2019-01-20,36
2019-01-27,22
2019-02-03,19
2019-02-10,0
2019-02-17,26
2019-02-24,15
2019-03-03,15
2019-03-10,54
2019-03-17,22
2019-03-24,23
2019-03-31,51
2019-04-07,91
2019-04-14,50
2019-04-21,80
2019-04-28,76
2019-05-05,100
2019-05-12,23
2019-05-19,82
2019-05-26,45
2019-06-02,53
2019-06-09,23
2019-06-16,46
2019-06-23,46
2019-06-30,23
2019-07-07,38
2019-07-14,16
2019-07-21,67
2019-07-28,44
2019-08-04,59
2019-08-11,15
2019-08-18,47
2019-08-25,40
2019-09-01,69
2019-09-08,42
2019-09-15,32
2019-09-22,26
2019-09-29,13
2019-10-06,35
2019-10-13,67
2019-10-20,48
2019-10-27,67
2019-11-03,51
2019-11-10,50
2019-11-17,74
2019-11-24,42
2019-12-01,18
2019-12-08,57
2019-12-15,60
2019-12-22,98
2019-12-29,59
2020-01-05,96
2020-01-12,72
2020-01-19,77
2020-01-26,34
2020-02-02,33
2020-02-09,49
2020-02-16,15
2020-02-23,28
2020-03-01,96
2020-03-08,53
