date,Crafts_RO
2018-01-07,25
2018-01-14,52
2018-01-21,51
2018-01-28,34
2018-02-04,44
2018-02-11,52
2018-02-18,60
2018-02-25,45
2018-03-04,33
2018-03-11,50
2018-03-18,37
2018-03-25,41
2018-04-01,54
2018-04-08,54
2018-04-15,70
2018-04-22,43
2018-04-29,38
2018-05-06,71
2018-05-13,49
2018-05-20,54
2018-05-27,42
2018-06-03,29
2018-06-10,24
2018-06-17,46
2018-06-24,44
2018-07-01,45
2018-07-08,34
2018-07-15,50
2018-07-22,39
2018-07-29,38
2018-08-05,19
2018-08-12,42
2018-08-19,34
2018-08-26,36
2018-09-02,34
2018-09-09,56
2018-09-16,53
2018-09-23,21
2018-09-30,32
2018-10-07,39
2018-10-14,45
2018-10-21,65
2018-10-28,52
2018-11-04,66
2018-11-11,31
2018-11-18,68
2018-11-25,44
2018-12-02,33
2018-12-09,40
2018-12-16,47
2018-12-23,27
2018-12-30,37
2019-01-06,53
2019-01-13,66
2019-01-20,79
2019-01-27,52
2019-02-03,62
2019-02-10,55
2019-02-17,100
2019-02-24,82
2019-03-03,64
2019-03-10,58
2019-03-17,68
2019-03-24,51
2019-03-31,40
2019-04-07,71
2019-04-14,50
2019-04-21,37
2019-04-28,49
2019-05-05,54
2019-05-12,83
2019-05-19,42
2019-05-26,44
2019-06-02,46
2019-06-09,34
2019-06-16,40
2019-06-23,32
2019-06-30,42
2019-07-07,36
2019-07-14,42
2019-07-21,43
2019-07-28,44
2019-08-04,37
2019-08-11,30
2019-08-18,55
2019-08-25,48
2019-09-01,18
2019-09-08,37
2019-09-15,37
2019-09-22,36
2019-09-29,53
2019-10-06,43
2019-10-13,51
2019-10-20,35
2019-10-27,48
2019-11-03,57
2019-11-10,59
2019-11-17,46
2019-11-24,52
2019-12-01,52
2019-12-08,50
2019-12-15,28
2019-12-22,20
2019-12-29,37
2020-01-05,42
2020-01-12,34
2020-01-19,53
2020-01-26,62
2020-02-02,51
2020-02-09,76
2020-02-16,60
2020-02-23,49
2020-03-01,67
2020-03-08,59
