date,Arts_CL
2018-01-07,63
2018-01-14,70
2018-01-21,55
2018-01-28,49
2018-02-04,59
2018-02-11,42
2018-02-18,55
2018-02-25,53
2018-03-04,76
2018-03-11,84
2018-03-18,93
2018-03-25,80
2018-04-01,96
2018-04-08,78
2018-04-15,81
2018-04-22,78
2018-04-29,67
2018-05-06,79
2018-05-13,83
2018-05-20,90
2018-05-27,73
2018-06-03,79
2018-06-10,86
2018-06-17,93
2018-06-24,83
2018-07-01,61
2018-07-08,76
2018-07-15,71
2018-07-22,74
2018-07-29,82
2018-08-05,95
2018-08-12,86
2018-08-19,94
2018-08-26,87
2018-09-02,80
2018-09-09,71
2018-09-16,57
2018-09-23,84
2018-09-30,84
2018-10-07,80
2018-10-14,92
2018-10-21,85
2018-10-28,72
2018-11-04,70
2018-11-11,79
2018-11-18,75
2018-11-25,73
2018-12-02,61
2018-12-09,66
2018-12-16,62
2018-12-23,74
2018-12-30,56
2019-01-06,65
2019-01-13,60
2019-01-20,57
2019-01-27,43
2019-02-03,45
2019-02-10,44
2019-02-17,36
2019-02-24,55
2019-03-03,67
2019-03-10,88
2019-03-17,82
2019-03-24,94
2019-03-31,85
2019-04-07,92
2019-04-14,86
2019-04-21,75
2019-04-28,76
2019-05-05,79
2019-05-12,81
2019-05-19,84
2019-05-26,75
2019-06-02,78
2019-06-09,79
2019-06-16,72
2019-06-23,77
2019-06-30,73
2019-07-07,71
2019-07-14,54
2019-07-21,58
2019-07-28,80
2019-08-04,87
2019-08-11,69
2019-08-18,88
2019-08-25,100
2019-09-01,72
2019-09-08,75
2019-09-15,56
2019-09-22,77
2019-09-29,80
2019-10-06,66
2019-10-13,68
2019-10-20,47
2019-10-27,58
2019-11-03,50
2019-11-10,61
2019-11-17,64
2019-11-24,64
2019-12-01,56
2019-12-08,66
2019-12-15,61
2019-12-22,49
2019-12-29,50
2020-01-05,52
2020-01-12,54
2020-01-19,48
2020-01-26,52
2020-02-02,49
2020-02-09,40
2020-02-16,46
2020-02-23,55
2020-03-01,67
2020-03-08,74
