date,Game_PH
2018-01-07,51
2018-01-14,53
2018-01-21,53
2018-01-28,52
2018-02-04,56
2018-02-11,56
2018-02-18,51
2018-02-25,52
2018-03-04,51
2018-03-11,52
2018-03-18,55
2018-03-25,60
2018-04-01,56
2018-04-08,54
2018-04-15,59
2018-04-22,64
2018-04-29,69
2018-05-06,62
2018-05-13,71
2018-05-20,90
2018-05-27,100
2018-06-03,92
2018-06-10,45
2018-06-17,37
2018-06-24,38
2018-07-01,40
2018-07-08,38
2018-07-15,40
2018-07-22,37
2018-07-29,39
2018-08-05,41
2018-08-12,41
2018-08-19,47
2018-08-26,42
2018-09-02,40
2018-09-09,40
2018-09-16,42
2018-09-23,42
2018-09-30,42
2018-10-07,40
2018-10-14,42
2018-10-21,52
2018-10-28,55
2018-11-04,46
2018-11-11,46
2018-11-18,49
2018-11-25,54
2018-12-02,58
2018-12-09,58
2018-12-16,60
2018-12-23,65
2018-12-30,57
2019-01-06,49
2019-01-13,47
2019-01-20,47
2019-01-27,46
2019-02-03,51
2019-02-10,47
2019-02-17,45
2019-02-24,58
2019-03-03,50
2019-03-10,48
2019-03-17,47
2019-03-24,48
2019-03-31,46
2019-04-07,46
2019-04-14,49
2019-04-21,51
2019-04-28,58
2019-05-05,64
2019-05-12,57
2019-05-19,54
2019-05-26,58
2019-06-02,79
2019-06-09,84
2019-06-16,36
2019-06-23,35
2019-06-30,34
2019-07-07,34
2019-07-14,36
2019-07-21,33
2019-07-28,37
2019-08-04,37
2019-08-11,39
2019-08-18,35
2019-08-25,39
2019-09-01,37
2019-09-08,37
2019-09-15,36
2019-09-22,36
2019-09-29,40
2019-10-06,39
2019-10-13,39
2019-10-20,48
2019-10-27,49
2019-11-03,45
2019-11-10,48
2019-11-17,47
2019-11-24,50
2019-12-01,50
2019-12-08,50
2019-12-15,55
2019-12-22,56
2019-12-29,52
2020-01-05,46
2020-01-12,45
2020-01-19,43
2020-01-26,45
2020-02-02,43
2020-02-09,44
2020-02-16,43
2020-02-23,47
2020-03-01,46
2020-03-08,41
