date,Game_PK
2018-01-07,67
2018-01-14,68
2018-01-21,66
2018-01-28,66
2018-02-04,67
2018-02-11,65
2018-02-18,70
2018-02-25,69
2018-03-04,66
2018-03-11,71
2018-03-18,75
2018-03-25,75
2018-04-01,71
2018-04-08,73
2018-04-15,67
2018-04-22,65
2018-04-29,74
2018-05-06,64
2018-05-13,83
2018-05-20,100
2018-05-27,93
2018-06-03,95
2018-06-10,93
2018-06-17,81
2018-06-24,74
2018-07-01,73
2018-07-08,73
2018-07-15,75
2018-07-22,72
2018-07-29,67
2018-08-05,65
2018-08-12,63
2018-08-19,85
2018-08-26,59
2018-09-02,60
2018-09-09,53
2018-09-16,68
2018-09-23,54
2018-09-30,59
2018-10-07,55
2018-10-14,57
2018-10-21,57
2018-10-28,68
2018-11-04,57
2018-11-11,54
2018-11-18,59
2018-11-25,55
2018-12-02,56
2018-12-09,57
2018-12-16,63
2018-12-23,75
2018-12-30,65
2019-01-06,62
2019-01-13,57
2019-01-20,57
2019-01-27,58
2019-02-03,57
2019-02-10,58
2019-02-17,59
2019-02-24,57
2019-03-03,57
2019-03-10,60
2019-03-17,64
2019-03-24,63
2019-03-31,68
2019-04-07,64
2019-04-14,59
2019-04-21,65
2019-04-28,66
2019-05-05,81
2019-05-12,77
2019-05-19,78
2019-05-26,80
2019-06-02,74
2019-06-09,62
2019-06-16,68
2019-06-23,61
2019-06-30,58
2019-07-07,69
2019-07-14,68
2019-07-21,66
2019-07-28,66
2019-08-04,65
2019-08-11,75
2019-08-18,59
2019-08-25,55
2019-09-01,58
2019-09-08,66
2019-09-15,55
2019-09-22,59
2019-09-29,52
2019-10-06,50
2019-10-13,58
2019-10-20,51
2019-10-27,52
2019-11-03,51
2019-11-10,52
2019-11-17,50
2019-11-24,51
2019-12-01,55
2019-12-08,52
2019-12-15,53
2019-12-22,65
2019-12-29,62
2020-01-05,58
2020-01-12,54
2020-01-19,54
2020-01-26,51
2020-02-02,52
2020-02-09,52
2020-02-16,53
2020-02-23,55
2020-03-01,60
2020-03-08,59
