date,Sports_ES
2018-01-07,40
2018-01-14,41
2018-01-21,41
2018-01-28,42
2018-02-04,36
2018-02-11,39
2018-02-18,38
2018-02-25,37
2018-03-04,39
2018-03-11,35
2018-03-18,33
2018-03-25,33
2018-04-01,33
2018-04-08,40
2018-04-15,37
2018-04-22,36
2018-04-29,36
2018-05-06,37
2018-05-13,39
2018-05-20,36
2018-05-27,39
2018-06-03,41
2018-06-10,42
2018-06-17,39
2018-06-24,36
2018-07-01,39
2018-07-08,37
2018-07-15,35
2018-07-22,37
2018-07-29,39
2018-08-05,38
2018-08-12,37
2018-08-19,37
2018-08-26,40
2018-09-02,40
2018-09-09,40
2018-09-16,41
2018-09-23,42
2018-09-30,41
2018-10-07,36
2018-10-14,34
2018-10-21,37
2018-10-28,36
2018-11-04,36
2018-11-11,34
2018-11-18,36
2018-11-25,36
2018-12-02,33
2018-12-09,36
2018-12-16,33
2018-12-23,34
2018-12-30,38
2019-01-06,41
2019-01-13,38
2019-01-20,36
2019-01-27,82
2019-02-03,93
2019-02-10,86
2019-02-17,86
2019-02-24,91
2019-03-03,89
2019-03-10,100
2019-03-17,85
2019-03-24,84
2019-03-31,43
2019-04-07,37
2019-04-14,34
2019-04-21,35
2019-04-28,38
2019-05-05,40
2019-05-12,38
2019-05-19,38
2019-05-26,38
2019-06-02,39
2019-06-09,38
2019-06-16,39
2019-06-23,39
2019-06-30,42
2019-07-07,43
2019-07-14,38
2019-07-21,40
2019-07-28,39
2019-08-04,44
2019-08-11,44
2019-08-18,43
2019-08-25,46
2019-09-01,43
2019-09-08,40
2019-09-15,45
2019-09-22,45
2019-09-29,43
2019-10-06,43
2019-10-13,39
2019-10-20,45
2019-10-27,43
2019-11-03,43
2019-11-10,39
2019-11-17,41
2019-11-24,47
2019-12-01,43
2019-12-08,42
2019-12-15,42
2019-12-22,40
2019-12-29,42
2020-01-05,49
2020-01-12,47
2020-01-19,46
2020-01-26,48
2020-02-02,49
2020-02-09,45
2020-02-16,47
2020-02-23,43
2020-03-01,46
2020-03-08,36
