date,Collecting_TH
2018-01-07,41
2018-01-14,26
2018-01-21,40
2018-01-28,26
2018-02-04,53
2018-02-11,13
2018-02-18,26
2018-02-25,0
2018-03-04,51
2018-03-11,25
2018-03-18,13
2018-03-25,26
2018-04-01,0
2018-04-08,59
2018-04-15,14
2018-04-22,13
2018-04-29,77
2018-05-06,0
2018-05-13,13
2018-05-20,13
2018-05-27,39
2018-06-03,40
2018-06-10,25
2018-06-17,0
2018-06-24,25
2018-07-01,49
2018-07-08,12
2018-07-15,38
2018-07-22,13
2018-07-29,25
2018-08-05,0
2018-08-12,12
2018-08-19,0
2018-08-26,37
2018-09-02,50
2018-09-09,37
2018-09-16,61
2018-09-23,38
2018-09-30,13
2018-10-07,78
2018-10-14,26
2018-10-21,13
2018-10-28,49
2018-11-04,0
2018-11-11,26
2018-11-18,27
2018-11-25,39
2018-12-02,13
2018-12-09,78
2018-12-16,37
2018-12-23,82
2018-12-30,27
2019-01-06,64
2019-01-13,25
2019-01-20,38
2019-01-27,86
2019-02-03,37
2019-02-10,60
2019-02-17,49
2019-02-24,36
2019-03-03,0
2019-03-10,61
2019-03-17,50
2019-03-24,100
2019-03-31,39
2019-04-07,14
2019-04-14,41
2019-04-21,13
2019-04-28,49
2019-05-05,40
2019-05-12,38
2019-05-19,76
2019-05-26,60
2019-06-02,24
2019-06-09,48
2019-06-16,59
2019-06-23,36
2019-06-30,24
2019-07-07,73
2019-07-14,48
2019-07-21,0
2019-07-28,36
2019-08-04,72
2019-08-11,23
2019-08-18,59
2019-08-25,23
2019-09-01,34
2019-09-08,47
2019-09-15,56
2019-09-22,22
2019-09-29,52
2019-10-06,57
2019-10-13,59
2019-10-20,43
2019-10-27,22
2019-11-03,12
2019-11-10,34
2019-11-17,57
2019-11-24,81
2019-12-01,0
2019-12-08,23
2019-12-15,22
2019-12-22,48
2019-12-29,86
2020-01-05,45
2020-01-12,42
2020-01-19,45
2020-01-26,22
2020-02-02,0
2020-02-09,58
2020-02-16,11
2020-02-23,0
2020-03-01,22
2020-03-08,45
