date,Sports_RU
2018-01-07,76
2018-01-14,75
2018-01-21,83
2018-01-28,81
2018-02-04,84
2018-02-11,92
2018-02-18,97
2018-02-25,87
2018-03-04,78
2018-03-11,79
2018-03-18,78
2018-03-25,75
2018-04-01,82
2018-04-08,79
2018-04-15,81
2018-04-22,76
2018-04-29,83
2018-05-06,80
2018-05-13,78
2018-05-20,76
2018-05-27,71
2018-06-03,78
2018-06-10,85
2018-06-17,100
2018-06-24,98
2018-07-01,93
2018-07-08,76
2018-07-15,72
2018-07-22,66
2018-07-29,69
2018-08-05,79
2018-08-12,77
2018-08-19,76
2018-08-26,75
2018-09-02,78
2018-09-09,72
2018-09-16,74
2018-09-23,73
2018-09-30,77
2018-10-07,81
2018-10-14,75
2018-10-21,74
2018-10-28,80
2018-11-04,74
2018-11-11,71
2018-11-18,73
2018-11-25,75
2018-12-02,72
2018-12-09,74
2018-12-16,74
2018-12-23,72
2018-12-30,63
2019-01-06,77
2019-01-13,77
2019-01-20,81
2019-01-27,72
2019-02-03,72
2019-02-10,74
2019-02-17,72
2019-02-24,79
2019-03-03,76
2019-03-10,76
2019-03-17,79
2019-03-24,77
2019-03-31,83
2019-04-07,84
2019-04-14,80
2019-04-21,83
2019-04-28,79
2019-05-05,76
2019-05-12,76
2019-05-19,77
2019-05-26,73
2019-06-02,70
2019-06-09,69
2019-06-16,69
2019-06-23,73
2019-06-30,69
2019-07-07,72
2019-07-14,69
2019-07-21,71
2019-07-28,71
2019-08-04,73
2019-08-11,77
2019-08-18,78
2019-08-25,80
2019-09-01,86
2019-09-08,78
2019-09-15,80
2019-09-22,78
2019-09-29,79
2019-10-06,85
2019-10-13,80
2019-10-20,84
2019-10-27,78
2019-11-03,85
2019-11-10,81
2019-11-17,81
2019-11-24,81
2019-12-01,80
2019-12-08,81
2019-12-15,76
2019-12-22,74
2019-12-29,67
2020-01-05,74
2020-01-12,78
2020-01-19,82
2020-01-26,76
2020-02-02,78
2020-02-09,76
2020-02-16,83
2020-02-23,87
2020-03-01,83
2020-03-08,78
