date,Performing_Art_IT
2018-01-07,0
2018-01-14,78
2018-01-21,39
2018-01-28,26
2018-02-04,51
2018-02-11,26
2018-02-18,89
2018-02-25,74
2018-03-04,13
2018-03-11,25
2018-03-18,0
2018-03-25,0
2018-04-01,28
2018-04-08,13
2018-04-15,40
2018-04-22,0
2018-04-29,13
2018-05-06,13
2018-05-13,26
2018-05-20,13
2018-05-27,26
2018-06-03,26
2018-06-10,25
2018-06-17,26
2018-06-24,26
2018-07-01,39
2018-07-08,0
2018-07-15,13
2018-07-22,26
2018-07-29,13
2018-08-05,41
2018-08-12,29
2018-08-19,100
2018-08-26,40
2018-09-02,77
2018-09-09,51
2018-09-16,13
2018-09-23,25
2018-09-30,0
2018-10-07,26
2018-10-14,66
2018-10-21,26
2018-10-28,38
2018-11-04,12
2018-11-11,0
2018-11-18,38
2018-11-25,26
2018-12-02,26
2018-12-09,0
2018-12-16,27
2018-12-23,31
2018-12-30,71
2019-01-06,13
2019-01-13,13
2019-01-20,61
2019-01-27,36
2019-02-03,12
2019-02-10,12
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,13
2019-03-17,26
2019-03-24,26
2019-03-31,51
2019-04-07,25
2019-04-14,0
2019-04-21,28
2019-04-28,0
2019-05-05,37
2019-05-12,25
2019-05-19,37
2019-05-26,24
2019-06-02,26
2019-06-09,51
2019-06-16,39
2019-06-23,79
2019-06-30,13
2019-07-07,63
2019-07-14,13
2019-07-21,40
2019-07-28,27
2019-08-04,14
2019-08-11,58
2019-08-18,41
2019-08-25,51
2019-09-01,47
2019-09-08,25
2019-09-15,36
2019-09-22,59
2019-09-29,24
2019-10-06,25
2019-10-13,12
2019-10-20,82
2019-10-27,59
2019-11-03,12
2019-11-10,35
2019-11-17,0
2019-11-24,46
2019-12-01,24
2019-12-08,24
2019-12-15,24
2019-12-22,42
2019-12-29,13
2020-01-05,12
2020-01-12,44
2020-01-19,23
2020-01-26,22
2020-02-02,43
2020-02-09,0
2020-02-16,45
2020-02-23,42
2020-03-01,53
2020-03-08,10
