date,Performing_Art_CL
2018-01-07,67
2018-01-14,0
2018-01-21,0
2018-01-28,23
2018-02-04,47
2018-02-11,70
2018-02-18,44
2018-02-25,43
2018-03-04,62
2018-03-11,0
2018-03-18,60
2018-03-25,62
2018-04-01,19
2018-04-08,59
2018-04-15,20
2018-04-22,20
2018-04-29,0
2018-05-06,60
2018-05-13,20
2018-05-20,42
2018-05-27,0
2018-06-03,39
2018-06-10,18
2018-06-17,56
2018-06-24,55
2018-07-01,38
2018-07-08,0
2018-07-15,43
2018-07-22,40
2018-07-29,0
2018-08-05,57
2018-08-12,20
2018-08-19,19
2018-08-26,19
2018-09-02,0
2018-09-09,42
2018-09-16,0
2018-09-23,0
2018-09-30,58
2018-10-07,18
2018-10-14,61
2018-10-21,20
2018-10-28,21
2018-11-04,19
2018-11-11,39
2018-11-18,100
2018-11-25,0
2018-12-02,0
2018-12-09,63
2018-12-16,0
2018-12-23,48
2018-12-30,24
2019-01-06,21
2019-01-13,0
2019-01-20,21
2019-01-27,21
2019-02-03,21
2019-02-10,44
2019-02-17,43
2019-02-24,40
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,58
2019-03-31,19
2019-04-07,44
2019-04-14,47
2019-04-21,22
2019-04-28,66
2019-05-05,65
2019-05-12,59
2019-05-19,60
2019-05-26,17
2019-06-02,54
2019-06-09,54
2019-06-16,36
2019-06-23,18
2019-06-30,19
2019-07-07,19
2019-07-14,62
2019-07-21,20
2019-07-28,76
2019-08-04,76
2019-08-11,40
2019-08-18,39
2019-08-25,76
2019-09-01,38
2019-09-08,18
2019-09-15,0
2019-09-22,36
2019-09-29,0
2019-10-06,33
2019-10-13,17
2019-10-20,0
2019-10-27,19
2019-11-03,18
2019-11-10,56
2019-11-17,18
2019-11-24,18
2019-12-01,38
2019-12-08,38
2019-12-15,18
2019-12-22,0
2019-12-29,0
2020-01-05,18
2020-01-12,18
2020-01-19,0
2020-01-26,56
2020-02-02,19
2020-02-09,37
2020-02-16,55
2020-02-23,50
2020-03-01,34
2020-03-08,17
