date,Learning_FR
2018-01-07,71
2018-01-14,81
2018-01-21,75
2018-01-28,86
2018-02-04,75
2018-02-11,75
2018-02-18,63
2018-02-25,74
2018-03-04,69
2018-03-11,75
2018-03-18,79
2018-03-25,92
2018-04-01,69
2018-04-08,76
2018-04-15,68
2018-04-22,68
2018-04-29,66
2018-05-06,56
2018-05-13,70
2018-05-20,63
2018-05-27,72
2018-06-03,74
2018-06-10,76
2018-06-17,58
2018-06-24,52
2018-07-01,57
2018-07-08,60
2018-07-15,57
2018-07-22,63
2018-07-29,59
2018-08-05,59
2018-08-12,51
2018-08-19,54
2018-08-26,68
2018-09-02,57
2018-09-09,77
2018-09-16,83
2018-09-23,75
2018-09-30,68
2018-10-07,94
2018-10-14,84
2018-10-21,78
2018-10-28,65
2018-11-04,78
2018-11-11,84
2018-11-18,72
2018-11-25,63
2018-12-02,68
2018-12-09,82
2018-12-16,72
2018-12-23,47
2018-12-30,58
2019-01-06,67
2019-01-13,76
2019-01-20,85
2019-01-27,92
2019-02-03,96
2019-02-10,88
2019-02-17,86
2019-02-24,96
2019-03-03,94
2019-03-10,100
2019-03-17,98
2019-03-24,95
2019-03-31,73
2019-04-07,82
2019-04-14,69
2019-04-21,70
2019-04-28,58
2019-05-05,77
2019-05-12,69
2019-05-19,69
2019-05-26,68
2019-06-02,71
2019-06-09,69
2019-06-16,76
2019-06-23,69
2019-06-30,64
2019-07-07,77
2019-07-14,72
2019-07-21,60
2019-07-28,54
2019-08-04,63
2019-08-11,66
2019-08-18,61
2019-08-25,59
2019-09-01,70
2019-09-08,90
2019-09-15,81
2019-09-22,82
2019-09-29,99
2019-10-06,88
2019-10-13,91
2019-10-20,63
2019-10-27,66
2019-11-03,87
2019-11-10,65
2019-11-17,93
2019-11-24,64
2019-12-01,68
2019-12-08,81
2019-12-15,84
2019-12-22,56
2019-12-29,68
2020-01-05,75
2020-01-12,96
2020-01-19,82
2020-01-26,81
2020-02-02,92
2020-02-09,81
2020-02-16,82
2020-02-23,81
2020-03-01,88
2020-03-08,65
