date,Game_CO
2018-01-07,94
2018-01-14,85
2018-01-21,83
2018-01-28,75
2018-02-04,70
2018-02-11,73
2018-02-18,74
2018-02-25,67
2018-03-04,72
2018-03-11,66
2018-03-18,78
2018-03-25,100
2018-04-01,68
2018-04-08,69
2018-04-15,69
2018-04-22,70
2018-04-29,73
2018-05-06,73
2018-05-13,78
2018-05-20,68
2018-05-27,69
2018-06-03,74
2018-06-10,78
2018-06-17,82
2018-06-24,91
2018-07-01,82
2018-07-08,66
2018-07-15,74
2018-07-22,69
2018-07-29,67
2018-08-05,64
2018-08-12,63
2018-08-19,64
2018-08-26,62
2018-09-02,62
2018-09-09,64
2018-09-16,65
2018-09-23,65
2018-09-30,64
2018-10-07,76
2018-10-14,66
2018-10-21,62
2018-10-28,63
2018-11-04,69
2018-11-11,70
2018-11-18,70
2018-11-25,72
2018-12-02,72
2018-12-09,72
2018-12-16,67
2018-12-23,73
2018-12-30,67
2019-01-06,62
2019-01-13,58
2019-01-20,55
2019-01-27,49
2019-02-03,45
2019-02-10,46
2019-02-17,45
2019-02-24,47
2019-03-03,49
2019-03-10,48
2019-03-17,49
2019-03-24,51
2019-03-31,54
2019-04-07,54
2019-04-14,71
2019-04-21,55
2019-04-28,57
2019-05-05,54
2019-05-12,52
2019-05-19,58
2019-05-26,56
2019-06-02,59
2019-06-09,63
2019-06-16,77
2019-06-23,81
2019-06-30,66
2019-07-07,59
2019-07-14,55
2019-07-21,58
2019-07-28,61
2019-08-04,65
2019-08-11,60
2019-08-18,58
2019-08-25,56
2019-09-01,56
2019-09-08,58
2019-09-15,51
2019-09-22,55
2019-09-29,54
2019-10-06,65
2019-10-13,56
2019-10-20,55
2019-10-27,51
2019-11-03,57
2019-11-10,61
2019-11-17,61
2019-11-24,66
2019-12-01,59
2019-12-08,57
2019-12-15,57
2019-12-22,62
2019-12-29,59
2020-01-05,50
2020-01-12,52
2020-01-19,50
2020-01-26,48
2020-02-02,47
2020-02-09,47
2020-02-16,47
2020-02-23,45
2020-03-01,45
2020-03-08,44
