date,Learning_FI
2018-01-07,100
2018-01-14,60
2018-01-21,61
2018-01-28,54
2018-02-04,83
2018-02-11,71
2018-02-18,65
2018-02-25,62
2018-03-04,65
2018-03-11,67
2018-03-18,61
2018-03-25,68
2018-04-01,63
2018-04-08,92
2018-04-15,57
2018-04-22,64
2018-04-29,57
2018-05-06,62
2018-05-13,71
2018-05-20,100
2018-05-27,53
2018-06-03,71
2018-06-10,73
2018-06-17,86
2018-06-24,37
2018-07-01,50
2018-07-08,49
2018-07-15,55
2018-07-22,55
2018-07-29,47
2018-08-05,57
2018-08-12,59
2018-08-19,60
2018-08-26,80
2018-09-02,47
2018-09-09,66
2018-09-16,70
2018-09-23,72
2018-09-30,80
2018-10-07,71
2018-10-14,54
2018-10-21,74
2018-10-28,71
2018-11-04,67
2018-11-11,91
2018-11-18,78
2018-11-25,54
2018-12-02,65
2018-12-09,53
2018-12-16,49
2018-12-23,38
2018-12-30,45
2019-01-06,58
2019-01-13,57
2019-01-20,74
2019-01-27,80
2019-02-03,66
2019-02-10,53
2019-02-17,59
2019-02-24,63
2019-03-03,52
2019-03-10,59
2019-03-17,74
2019-03-24,67
2019-03-31,58
2019-04-07,46
2019-04-14,65
2019-04-21,52
2019-04-28,60
2019-05-05,55
2019-05-12,41
2019-05-19,44
2019-05-26,44
2019-06-02,61
2019-06-09,45
2019-06-16,39
2019-06-23,49
2019-06-30,49
2019-07-07,35
2019-07-14,43
2019-07-21,45
2019-07-28,44
2019-08-04,58
2019-08-11,54
2019-08-18,57
2019-08-25,76
2019-09-01,66
2019-09-08,44
2019-09-15,74
2019-09-22,65
2019-09-29,66
2019-10-06,84
2019-10-13,29
2019-10-20,65
2019-10-27,65
2019-11-03,42
2019-11-10,82
2019-11-17,69
2019-11-24,56
2019-12-01,62
2019-12-08,56
2019-12-15,61
2019-12-22,27
2019-12-29,51
2020-01-05,63
2020-01-12,60
2020-01-19,93
2020-01-26,81
2020-02-02,68
2020-02-09,63
2020-02-16,70
2020-02-23,82
2020-03-01,77
2020-03-08,58
