date,Crafts_DE
2018-01-07,70
2018-01-14,85
2018-01-21,70
2018-01-28,78
2018-02-04,77
2018-02-11,83
2018-02-18,89
2018-02-25,87
2018-03-04,80
2018-03-11,73
2018-03-18,98
2018-03-25,70
2018-04-01,74
2018-04-08,77
2018-04-15,76
2018-04-22,83
2018-04-29,64
2018-05-06,69
2018-05-13,66
2018-05-20,80
2018-05-27,68
2018-06-03,75
2018-06-10,77
2018-06-17,62
2018-06-24,72
2018-07-01,73
2018-07-08,64
2018-07-15,67
2018-07-22,66
2018-07-29,67
2018-08-05,78
2018-08-12,63
2018-08-19,73
2018-08-26,81
2018-09-02,80
2018-09-09,81
2018-09-16,89
2018-09-23,71
2018-09-30,72
2018-10-07,85
2018-10-14,80
2018-10-21,78
2018-10-28,78
2018-11-04,90
2018-11-11,84
2018-11-18,74
2018-11-25,81
2018-12-02,76
2018-12-09,75
2018-12-16,75
2018-12-23,63
2018-12-30,68
2019-01-06,76
2019-01-13,90
2019-01-20,80
2019-01-27,82
2019-02-03,100
2019-02-10,79
2019-02-17,85
2019-02-24,93
2019-03-03,90
2019-03-10,100
2019-03-17,93
2019-03-24,84
2019-03-31,80
2019-04-07,89
2019-04-14,73
2019-04-21,65
2019-04-28,74
2019-05-05,74
2019-05-12,78
2019-05-19,74
2019-05-26,75
2019-06-02,73
2019-06-09,76
2019-06-16,64
2019-06-23,76
2019-06-30,79
2019-07-07,72
2019-07-14,62
2019-07-21,68
2019-07-28,70
2019-08-04,61
2019-08-11,76
2019-08-18,78
2019-08-25,75
2019-09-01,78
2019-09-08,81
2019-09-15,79
2019-09-22,87
2019-09-29,68
2019-10-06,77
2019-10-13,84
2019-10-20,76
2019-10-27,68
2019-11-03,90
2019-11-10,90
2019-11-17,77
2019-11-24,73
2019-12-01,75
2019-12-08,87
2019-12-15,68
2019-12-22,52
2019-12-29,73
2020-01-05,69
2020-01-12,87
2020-01-19,80
2020-01-26,75
2020-02-02,73
2020-02-09,78
2020-02-16,77
2020-02-23,80
2020-03-01,77
2020-03-08,74
