date,Pets_BE
2018-01-07,31
2018-01-14,35
2018-01-21,52
2018-01-28,33
2018-02-04,32
2018-02-11,41
2018-02-18,44
2018-02-25,29
2018-03-04,42
2018-03-11,69
2018-03-18,36
2018-03-25,50
2018-04-01,57
2018-04-08,46
2018-04-15,36
2018-04-22,51
2018-04-29,48
2018-05-06,35
2018-05-13,47
2018-05-20,58
2018-05-27,45
2018-06-03,42
2018-06-10,44
2018-06-17,42
2018-06-24,49
2018-07-01,34
2018-07-08,45
2018-07-15,59
2018-07-22,45
2018-07-29,39
2018-08-05,72
2018-08-12,42
2018-08-19,54
2018-08-26,64
2018-09-02,37
2018-09-09,31
2018-09-16,53
2018-09-23,58
2018-09-30,72
2018-10-07,50
2018-10-14,79
2018-10-21,37
2018-10-28,61
2018-11-04,53
2018-11-11,37
2018-11-18,49
2018-11-25,41
2018-12-02,48
2018-12-09,48
2018-12-16,60
2018-12-23,42
2018-12-30,44
2019-01-06,48
2019-01-13,31
2019-01-20,48
2019-01-27,90
2019-02-03,89
2019-02-10,55
2019-02-17,100
2019-02-24,72
2019-03-03,77
2019-03-10,80
2019-03-17,71
2019-03-24,93
2019-03-31,60
2019-04-07,45
2019-04-14,61
2019-04-21,59
2019-04-28,45
2019-05-05,44
2019-05-12,54
2019-05-19,28
2019-05-26,64
2019-06-02,42
2019-06-09,73
2019-06-16,42
2019-06-23,62
2019-06-30,57
2019-07-07,36
2019-07-14,38
2019-07-21,70
2019-07-28,63
2019-08-04,59
2019-08-11,66
2019-08-18,57
2019-08-25,49
2019-09-01,63
2019-09-08,48
2019-09-15,63
2019-09-22,66
2019-09-29,62
2019-10-06,43
2019-10-13,58
2019-10-20,71
2019-10-27,49
2019-11-03,65
2019-11-10,60
2019-11-17,75
2019-11-24,60
2019-12-01,32
2019-12-08,49
2019-12-15,58
2019-12-22,70
2019-12-29,55
2020-01-05,60
2020-01-12,51
2020-01-19,46
2020-01-26,48
2020-02-02,50
2020-02-09,34
2020-02-16,72
2020-02-23,62
2020-03-01,55
2020-03-08,53
