date,Pets_CZ
2018-01-07,38
2018-01-14,13
2018-01-21,36
2018-01-28,16
2018-02-04,24
2018-02-11,18
2018-02-18,26
2018-02-25,13
2018-03-04,29
2018-03-11,26
2018-03-18,16
2018-03-25,22
2018-04-01,22
2018-04-08,24
2018-04-15,39
2018-04-22,16
2018-04-29,23
2018-05-06,30
2018-05-13,47
2018-05-20,19
2018-05-27,13
2018-06-03,22
2018-06-10,42
2018-06-17,16
2018-06-24,41
2018-07-01,25
2018-07-08,22
2018-07-15,45
2018-07-22,31
2018-07-29,26
2018-08-05,28
2018-08-12,28
2018-08-19,31
2018-08-26,41
2018-09-02,38
2018-09-09,32
2018-09-16,19
2018-09-23,30
2018-09-30,32
2018-10-07,24
2018-10-14,32
2018-10-21,39
2018-10-28,39
2018-11-04,31
2018-11-11,43
2018-11-18,40
2018-11-25,44
2018-12-02,23
2018-12-09,29
2018-12-16,42
2018-12-23,45
2018-12-30,32
2019-01-06,35
2019-01-13,23
2019-01-20,23
2019-01-27,64
2019-02-03,66
2019-02-10,100
2019-02-17,81
2019-02-24,88
2019-03-03,69
2019-03-10,63
2019-03-17,90
2019-03-24,70
2019-03-31,27
2019-04-07,28
2019-04-14,33
2019-04-21,41
2019-04-28,38
2019-05-05,15
2019-05-12,27
2019-05-19,20
2019-05-26,28
2019-06-02,15
2019-06-09,31
2019-06-16,18
2019-06-23,25
2019-06-30,34
2019-07-07,18
2019-07-14,25
2019-07-21,31
2019-07-28,30
2019-08-04,27
2019-08-11,29
2019-08-18,32
2019-08-25,40
2019-09-01,30
2019-09-08,43
2019-09-15,18
2019-09-22,37
2019-09-29,38
2019-10-06,26
2019-10-13,24
2019-10-20,30
2019-10-27,45
2019-11-03,32
2019-11-10,43
2019-11-17,29
2019-11-24,43
2019-12-01,32
2019-12-08,34
2019-12-15,14
2019-12-22,36
2019-12-29,39
2020-01-05,41
2020-01-12,21
2020-01-19,36
2020-01-26,32
2020-02-02,41
2020-02-09,25
2020-02-16,34
2020-02-23,37
2020-03-01,33
2020-03-08,37
