date,Sports_ZA
2018-01-07,72
2018-01-14,83
2018-01-21,79
2018-01-28,82
2018-02-04,72
2018-02-11,71
2018-02-18,74
2018-02-25,83
2018-03-04,84
2018-03-11,85
2018-03-18,75
2018-03-25,77
2018-04-01,71
2018-04-08,76
2018-04-15,68
2018-04-22,77
2018-04-29,77
2018-05-06,74
2018-05-13,69
2018-05-20,82
2018-05-27,72
2018-06-03,71
2018-06-10,80
2018-06-17,93
2018-06-24,90
2018-07-01,75
2018-07-08,72
2018-07-15,78
2018-07-22,66
2018-07-29,65
2018-08-05,80
2018-08-12,73
2018-08-19,73
2018-08-26,71
2018-09-02,66
2018-09-09,67
2018-09-16,70
2018-09-23,74
2018-09-30,66
2018-10-07,59
2018-10-14,65
2018-10-21,68
2018-10-28,71
2018-11-04,71
2018-11-11,64
2018-11-18,78
2018-11-25,72
2018-12-02,64
2018-12-09,63
2018-12-16,70
2018-12-23,73
2018-12-30,69
2019-01-06,68
2019-01-13,71
2019-01-20,73
2019-01-27,78
2019-02-03,72
2019-02-10,75
2019-02-17,74
2019-02-24,76
2019-03-03,74
2019-03-10,71
2019-03-17,67
2019-03-24,63
2019-03-31,73
2019-04-07,73
2019-04-14,77
2019-04-21,67
2019-04-28,78
2019-05-05,73
2019-05-12,69
2019-05-19,69
2019-05-26,75
2019-06-02,71
2019-06-09,72
2019-06-16,75
2019-06-23,71
2019-06-30,76
2019-07-07,76
2019-07-14,71
2019-07-21,71
2019-07-28,74
2019-08-04,74
2019-08-11,67
2019-08-18,75
2019-08-25,66
2019-09-01,61
2019-09-08,62
2019-09-15,67
2019-09-22,65
2019-09-29,69
2019-10-06,69
2019-10-13,77
2019-10-20,86
2019-10-27,100
2019-11-03,79
2019-11-10,70
2019-11-17,66
2019-11-24,82
2019-12-01,75
2019-12-08,75
2019-12-15,75
2019-12-22,74
2019-12-29,71
2020-01-05,73
2020-01-12,77
2020-01-19,76
2020-01-26,84
2020-02-02,82
2020-02-09,76
2020-02-16,80
2020-02-23,79
2020-03-01,82
2020-03-08,72
