date,Sports_PL
2018-01-07,73
2018-01-14,71
2018-01-21,71
2018-01-28,71
2018-02-04,77
2018-02-11,78
2018-02-18,82
2018-02-25,70
2018-03-04,80
2018-03-11,89
2018-03-18,74
2018-03-25,73
2018-04-01,87
2018-04-08,87
2018-04-15,80
2018-04-22,81
2018-04-29,84
2018-05-06,80
2018-05-13,75
2018-05-20,80
2018-05-27,76
2018-06-03,78
2018-06-10,79
2018-06-17,84
2018-06-24,82
2018-07-01,72
2018-07-08,62
2018-07-15,63
2018-07-22,63
2018-07-29,69
2018-08-05,68
2018-08-12,74
2018-08-19,68
2018-08-26,72
2018-09-02,72
2018-09-09,71
2018-09-16,79
2018-09-23,78
2018-09-30,72
2018-10-07,64
2018-10-14,61
2018-10-21,59
2018-10-28,62
2018-11-04,60
2018-11-11,57
2018-11-18,62
2018-11-25,61
2018-12-02,66
2018-12-09,64
2018-12-16,62
2018-12-23,62
2018-12-30,75
2019-01-06,74
2019-01-13,68
2019-01-20,74
2019-01-27,75
2019-02-03,81
2019-02-10,79
2019-02-17,86
2019-02-24,86
2019-03-03,85
2019-03-10,94
2019-03-17,83
2019-03-24,80
2019-03-31,91
2019-04-07,94
2019-04-14,89
2019-04-21,88
2019-04-28,85
2019-05-05,92
2019-05-12,90
2019-05-19,88
2019-05-26,98
2019-06-02,95
2019-06-09,89
2019-06-16,91
2019-06-23,83
2019-06-30,85
2019-07-07,89
2019-07-14,86
2019-07-21,85
2019-07-28,89
2019-08-04,90
2019-08-11,93
2019-08-18,82
2019-08-25,93
2019-09-01,100
2019-09-08,92
2019-09-15,92
2019-09-22,95
2019-09-29,92
2019-10-06,92
2019-10-13,80
2019-10-20,74
2019-10-27,76
2019-11-03,79
2019-11-10,77
2019-11-17,73
2019-11-24,81
2019-12-01,74
2019-12-08,77
2019-12-15,73
2019-12-22,67
2019-12-29,72
2020-01-05,82
2020-01-12,78
2020-01-19,78
2020-01-26,85
2020-02-02,80
2020-02-09,79
2020-02-16,83
2020-02-23,85
2020-03-01,86
2020-03-08,69
